r	v	rho	p	pw
1.000000	1.705481E-02	1.000000E+00	1.282477E-01	0.0
1.290000	4.280743E-02	2.394133E-01	2.858614E-02	0.0
1.580000	7.547871E-02	9.051245E-02	1.029422E-02	0.0
1.870000	1.102765E-01	4.422632E-02	4.853048E-03	0.0
2.160000	1.444592E-01	2.530430E-02	2.700248E-03	0.0
2.450000	1.768020E-01	1.607043E-02	1.676404E-03	0.0
2.740000	2.068905E-01	1.098008E-02	1.123790E-03	0.0
3.030000	2.346899E-01	7.915298E-03	7.969670E-04	0.0
3.320000	2.603276E-01	5.943614E-03	5.899332E-04	0.0
3.610000	2.839889E-01	4.608198E-03	4.516036E-04	0.0
3.900000	3.058705E-01	3.665896E-03	3.551721E-04	0.0
4.190000	3.261597E-01	2.978439E-03	2.855866E-04	0.0
4.480000	3.450266E-01	2.462852E-03	2.339160E-04	0.0
4.770000	3.626226E-01	2.067071E-03	1.946134E-04	0.0
5.060000	3.790807E-01	1.757172E-03	1.640985E-04	0.0
5.350000	3.945172E-01	1.510336E-03	1.399835E-04	0.0
5.640000	4.090337E-01	1.310780E-03	1.206302E-04	0.0
5.930000	4.227189E-01	1.147323E-03	1.048866E-04	0.0
6.220000	4.356507E-01	1.011877E-03	9.192505E-05	0.0
6.510000	4.478973E-01	8.984761E-04	8.113936E-05	0.0
6.800000	4.595189E-01	8.026492E-04	7.207784E-05	0.0
7.090000	4.705686E-01	7.209939E-04	6.439882E-05	0.0
7.380000	4.810934E-01	6.508858E-04	5.784020E-05	0.0
7.670000	4.911354E-01	5.902759E-04	5.219844E-05	0.0
7.960000	5.007318E-01	5.375461E-04	4.731362E-05	0.0
8.250000	5.099161E-01	4.914059E-04	4.305882E-05	0.0
8.540000	5.187184E-01	4.508163E-04	3.933229E-05	0.0
8.830000	5.271657E-01	4.149334E-04	3.605181E-05	0.0
9.120000	5.352825E-01	3.830666E-04	3.315032E-05	0.0
9.410000	5.430909E-01	3.546461E-04	3.057276E-05	0.0
9.700000	5.506109E-01	3.291991E-04	2.827362E-05	0.0
9.990000	5.578609E-01	3.063304E-04	2.621497E-05	0.0
10.280000	5.648576E-01	2.857076E-04	2.436507E-05	0.0
10.570000	5.716162E-01	2.670499E-04	2.269718E-05	0.0
10.860000	5.781507E-01	2.501188E-04	2.118865E-05	0.0
11.150000	5.844740E-01	2.347103E-04	1.982022E-05	0.0
11.440000	5.905978E-01	2.206496E-04	1.857539E-05	0.0
11.730000	5.965332E-01	2.077860E-04	1.744002E-05	0.0
12.020000	6.022901E-01	1.959893E-04	1.640188E-05	0.0
12.310000	6.078780E-01	1.851461E-04	1.545041E-05	0.0
12.600000	6.133054E-01	1.751577E-04	1.457640E-05	0.0
12.890000	6.185803E-01	1.659377E-04	1.377184E-05	0.0
13.180000	6.237104E-01	1.574103E-04	1.302970E-05	0.0
13.470000	6.287024E-01	1.495088E-04	1.234382E-05	0.0
13.760000	6.335629E-01	1.421741E-04	1.170877E-05	0.0
14.050000	6.382980E-01	1.353539E-04	1.111973E-05	0.0
14.340000	6.429132E-01	1.290020E-04	1.057245E-05	0.0
14.630000	6.474141E-01	1.230768E-04	1.006317E-05	0.0
14.920000	6.518054E-01	1.175415E-04	9.588500E-06	0.0
15.210000	6.560919E-01	1.123631E-04	9.145444E-06	0.0
15.500000	6.602780E-01	1.075120E-04	8.731308E-06	0.0
15.790000	6.643678E-01	1.029613E-04	8.343678E-06	0.0
16.080000	6.683652E-01	9.868725E-05	7.980384E-06	0.0
16.370000	6.722739E-01	9.466803E-05	7.639470E-06	0.0
16.660000	6.760974E-01	9.088406E-05	7.319170E-06	0.0
16.950000	6.798389E-01	8.731755E-05	7.017887E-06	0.0
17.240000	6.835015E-01	8.395237E-05	6.734174E-06	0.0
17.530000	6.870882E-01	8.077382E-05	6.466718E-06	0.0
17.820000	6.906017E-01	7.776853E-05	6.214323E-06	0.0
18.110000	6.940447E-01	7.492428E-05	5.975902E-06	0.0
18.400000	6.974197E-01	7.222991E-05	5.750461E-06	0.0
18.690000	7.007291E-01	6.967520E-05	5.537094E-06	0.0
18.980000	7.039750E-01	6.725078E-05	5.334969E-06	0.0
19.270000	7.071597E-01	6.494803E-05	5.143326E-06	0.0
19.560000	7.102853E-01	6.275906E-05	4.961466E-06	0.0
19.850000	7.133536E-01	6.067658E-05	4.788747E-06	0.0
20.140000	7.163665E-01	5.869387E-05	4.624578E-06	0.0
20.430000	7.193258E-01	5.680474E-05	4.468416E-06	0.0
20.720000	7.222332E-01	5.500346E-05	4.319757E-06	0.0
21.010000	7.250902E-01	5.328473E-05	4.178137E-06	0.0
21.300000	7.278986E-01	5.164365E-05	4.043128E-06	0.0
21.590000	7.306596E-01	5.007565E-05	3.914332E-06	0.0
21.880000	7.333748E-01	4.857652E-05	3.791381E-06	0.0
22.170000	7.360455E-01	4.714232E-05	3.673933E-06	0.0
22.460000	7.386729E-01	4.576941E-05	3.561671E-06	0.0
22.750000	7.412584E-01	4.445438E-05	3.454299E-06	0.0
23.040000	7.438031E-01	4.319406E-05	3.351544E-06	0.0
23.330000	7.463082E-01	4.198549E-05	3.253149E-06	0.0
23.620000	7.487748E-01	4.082592E-05	3.158875E-06	0.0
23.910000	7.512038E-01	3.971275E-05	3.068501E-06	0.0
24.200000	7.535965E-01	3.864358E-05	2.981817E-06	0.0
24.490000	7.559536E-01	3.761614E-05	2.898629E-06	0.0
24.780000	7.582762E-01	3.662832E-05	2.818756E-06	0.0
25.070000	7.605651E-01	3.567811E-05	2.742027E-06	0.0
25.360000	7.628213E-01	3.476367E-05	2.668282E-06	0.0
25.650000	7.650455E-01	3.388324E-05	2.597371E-06	0.0
25.940000	7.672386E-01	3.303517E-05	2.529153E-06	0.0
26.230000	7.694013E-01	3.221792E-05	2.463497E-06	0.0
26.520000	7.715345E-01	3.143001E-05	2.400278E-06	0.0
26.810000	7.736387E-01	3.067010E-05	2.339379E-06	0.0
