 r	vr	ne	p	pw
   1.00000	 4.96994E-07	 1.99998E+04	 2.84983E+01	 0.00000E+00
   1.00008	 5.21391E-07	 1.90045E+04	 2.72179E+01	 0.00000E+00
   1.00016	 5.50460E-07	 1.80437E+04	 2.59999E+01	 0.00000E+00
   1.00024	 5.79513E-07	 1.71878E+04	 2.48395E+01	 0.00000E+00
   1.00032	 6.07876E-07	 1.63614E+04	 2.36666E+01	 0.00000E+00
   1.00042	 6.39945E-07	 1.55201E+04	 2.24552E+01	 0.00000E+00
   1.00051	 6.74959E-07	 1.47032E+04	 2.12758E+01	 0.00000E+00
   1.00061	 7.12774E-07	 1.38880E+04	 2.01004E+01	 0.00000E+00
   1.00072	 7.55862E-07	 1.30662E+04	 1.89105E+01	 0.00000E+00
   1.00083	 8.06773E-07	 1.22892E+04	 1.77658E+01	 0.00000E+00
   1.00094	 8.69225E-07	 1.15620E+04	 1.66657E+01	 0.00000E+00
   1.00106	 9.40027E-07	 1.08414E+04	 1.55627E+01	 0.00000E+00
   1.00119	 1.02300E-06	 1.01134E+04	 1.44454E+01	 0.00000E+00
   1.00133	 1.11902E-06	 9.39979E+03	 1.33448E+01	 0.00000E+00
   1.00147	 1.22446E-06	 8.71182E+03	 1.22868E+01	 0.00000E+00
   1.00162	 1.34490E-06	 8.03533E+03	 1.12574E+01	 0.00000E+00
   1.00178	 1.48540E-06	 7.37808E+03	 1.02625E+01	 0.00000E+00
   1.00194	 1.64506E-06	 6.75109E+03	 9.32200E+00	 0.00000E+00
   1.00211	 1.82645E-06	 6.14340E+03	 8.42481E+00	 0.00000E+00
   1.00229	 2.04096E-06	 5.54251E+03	 7.55285E+00	 0.00000E+00
   1.00249	 2.30153E-06	 4.96012E+03	 6.71548E+00	 0.00000E+00
   1.00269	 2.60457E-06	 4.41390E+03	 5.93915E+00	 0.00000E+00
   1.00290	 2.95875E-06	 3.90059E+03	 5.22548E+00	 0.00000E+00
   1.00312	 3.38035E-06	 3.41908E+03	 4.56779E+00	 0.00000E+00
   1.00335	 3.88764E-06	 2.96638E+03	 3.96227E+00	 0.00000E+00
   1.00360	 4.51888E-06	 2.54867E+03	 3.41093E+00	 0.00000E+00
   1.00385	 5.27542E-06	 2.16697E+03	 2.91604E+00	 0.00000E+00
   1.00413	 6.23212E-06	 1.82067E+03	 2.47340E+00	 0.00000E+00
   1.00441	 7.40342E-06	 1.51560E+03	 2.08598E+00	 0.00000E+00
   1.00471	 8.86577E-06	 1.24931E+03	 1.75130E+00	 0.00000E+00
   1.00502	 1.06924E-05	 1.02034E+03	 1.46273E+00	 0.00000E+00
   1.00535	 1.29429E-05	 8.33194E+02	 1.21358E+00	 0.00000E+00
   1.00570	 1.53125E-05	 6.82752E+02	 9.97580E-01	 0.00000E+00
   1.00607	 1.82681E-05	 5.55615E+02	 8.12790E-01	 0.00000E+00
   1.00645	 2.20407E-05	 4.48571E+02	 6.56996E-01	 0.00000E+00
   1.00685	 2.68934E-05	 3.58262E+02	 5.25489E-01	 0.00000E+00
   1.00728	 3.33498E-05	 2.82658E+02	 4.15267E-01	 0.00000E+00
   1.00772	 4.19083E-05	 2.20597E+02	 3.24707E-01	 0.00000E+00
   1.00819	 5.33909E-05	 1.70075E+02	 2.50920E-01	 0.00000E+00
   1.00868	 6.90460E-05	 1.29387E+02	 1.91418E-01	 0.00000E+00
   1.00920	 9.07007E-05	 9.70285E+01	 1.44195E-01	 0.00000E+00
   1.00974	 1.21121E-04	 6.39640E+01	 1.10700E-01	 0.00000E+00
   1.01031	 2.20128E-04	 2.60925E+01	 9.54834E-02	 0.00000E+00
   1.01091	 1.42090E-03	 5.67709E+00	 8.66069E-02	 0.00000E+00
   1.01154	 2.28614E-03	 3.88527E+00	 7.79184E-02	 0.00000E+00
   1.01221	 2.88482E-03	 3.18363E+00	 7.43682E-02	 0.00000E+00
   1.01290	 3.35690E-03	 2.77140E+00	 7.20904E-02	 0.00000E+00
   1.01364	 3.77746E-03	 2.47988E+00	 7.01902E-02	 0.00000E+00
   1.01441	 4.16595E-03	 2.25739E+00	 6.85101E-02	 0.00000E+00
   1.01521	 4.53223E-03	 2.07820E+00	 6.69444E-02	 0.00000E+00
   1.01606	 4.88742E-03	 1.92759E+00	 6.54558E-02	 0.00000E+00
   1.01696	 5.23776E-03	 1.79797E+00	 6.40303E-02	 0.00000E+00
   1.01790	 5.58435E-03	 1.68494E+00	 6.26546E-02	 0.00000E+00
   1.01888	 5.92801E-03	 1.58466E+00	 6.13112E-02	 0.00000E+00
   1.01992	 6.27402E-03	 1.49423E+00	 5.99920E-02	 0.00000E+00
   1.02101	 6.62375E-03	 1.41194E+00	 5.86930E-02	 0.00000E+00
   1.02216	 6.97901E-03	 1.33657E+00	 5.74107E-02	 0.00000E+00
   1.02336	 7.33969E-03	 1.26706E+00	 5.61422E-02	 0.00000E+00
   1.02463	 7.70845E-03	 1.20249E+00	 5.48830E-02	 0.00000E+00
   1.02596	 8.08632E-03	 1.14225E+00	 5.36334E-02	 0.00000E+00
   1.02736	 8.47416E-03	 1.08582E+00	 5.23909E-02	 0.00000E+00
   1.02883	 8.87328E-03	 1.03282E+00	 5.11563E-02	 0.00000E+00
   1.03037	 9.28397E-03	 9.82807E-01	 4.99266E-02	 0.00000E+00
   1.03200	 9.70907E-03	 9.35473E-01	 4.87016E-02	 0.00000E+00
   1.03370	 1.01486E-02	 8.90600E-01	 4.74812E-02	 0.00000E+00
   1.03550	 1.06042E-02	 8.47953E-01	 4.62649E-02	 0.00000E+00
   1.03738	 1.10769E-02	 8.07401E-01	 4.50544E-02	 0.00000E+00
   1.03936	 1.15672E-02	 7.68706E-01	 4.38467E-02	 0.00000E+00
   1.04145	 1.20786E-02	 7.31716E-01	 4.26422E-02	 0.00000E+00
   1.04364	 1.26115E-02	 6.96397E-01	 4.14436E-02	 0.00000E+00
   1.04594	 1.31660E-02	 6.62675E-01	 4.02523E-02	 0.00000E+00
   1.04835	 1.37434E-02	 6.30389E-01	 3.90666E-02	 0.00000E+00
   1.05090	 1.43472E-02	 5.99418E-01	 3.78855E-02	 0.00000E+00
   1.05357	 1.49792E-02	 5.69766E-01	 3.67127E-02	 0.00000E+00
   1.05637	 1.56383E-02	 5.41371E-01	 3.55486E-02	 0.00000E+00
   1.05932	 1.63282E-02	 5.14101E-01	 3.43912E-02	 0.00000E+00
   1.06243	 1.70524E-02	 4.87914E-01	 3.32417E-02	 0.00000E+00
   1.06569	 1.78117E-02	 4.62825E-01	 3.21035E-02	 0.00000E+00
   1.06911	 1.86062E-02	 4.38785E-01	 3.09771E-02	 0.00000E+00
   1.07271	 1.94395E-02	 4.15712E-01	 2.98615E-02	 0.00000E+00
   1.07650	 2.03155E-02	 3.93584E-01	 2.87585E-02	 0.00000E+00
