Time	Wr	Wt	Wp	Kr	Kt	Kp	E	|JxB|	|J.B|
 0.00000000E+00	 7.16189809E-03	 3.82001720E-03	 0.00000000E+00	 8.26619251E+01	 0.00000000E+00	 0.00000000E+00	 5.26616200E+01	 1.33919067E-09	 0.00000000E+00
 4.44600156E-01	 7.39120828E-03	 3.66868835E-03	 6.31793978E-07	 8.22342005E+01	 3.94550756E-06	 1.78741649E-09	 5.22573250E+01	 7.55591334E-04	 4.66781667E-05
 8.84391643E-01	 7.60563280E-03	 3.58232702E-03	 1.94152895E-06	 8.18101570E+01	 2.96987984E-05	 1.65092517E-08	 5.18602924E+01	 1.09516728E-03	 7.43182191E-05
 1.32418313E+00	 7.81068638E-03	 3.52293004E-03	 3.53038770E-06	 8.13873667E+01	 7.26484405E-05	 4.87797003E-08	 5.14657420E+01	 1.26332756E-03	 9.13577321E-05
 1.76397462E+00	 8.00835348E-03	 3.47687832E-03	 5.25160716E-06	 8.09654443E+01	 1.34534858E-04	 9.83852313E-08	 5.10736921E+01	 1.35070718E-03	 1.02388785E-04
 2.20376611E+00	 8.19985005E-03	 3.43850939E-03	 7.04520583E-06	 8.05444419E+01	 2.15073992E-04	 1.62895663E-07	 5.06841655E+01	 1.39473752E-03	 1.10106053E-04
 2.64355759E+00	 8.38593328E-03	 3.40517264E-03	 8.88352907E-06	 8.01244082E+01	 3.13559696E-04	 2.39256427E-07	 5.02971660E+01	 1.41512305E-03	 1.16001354E-04
 3.08254017E+00	 8.56676994E-03	 3.37551653E-03	 1.07488026E-05	 7.97061342E+01	 4.29139978E-04	 3.24554259E-07	 4.99133901E+01	 1.42585872E-03	 1.20867660E-04
 3.52024779E+00	 8.74254959E-03	 3.34872466E-03	 1.26307304E-05	 7.92900754E+01	 5.60851912E-04	 4.16177430E-07	 4.95332136E+01	 1.42751775E-03	 1.25128513E-04
 3.95671538E+00	 8.91358755E-03	 3.32424388E-03	 1.45243030E-05	 7.88762047E+01	 7.07820861E-04	 5.11999788E-07	 4.91565698E+01	 1.42726421E-03	 1.29013878E-04
 4.39193873E+00	 9.08012928E-03	 3.30169133E-03	 1.64261175E-05	 7.84645263E+01	 8.69264717E-04	 6.10347778E-07	 4.87834261E+01	 1.42421434E-03	 1.32648753E-04
 4.82606418E+00	 9.24244404E-03	 3.28078273E-03	 1.83344752E-05	 7.80549036E+01	 1.04445434E-03	 7.09896985E-07	 4.84136224E+01	 1.41960988E-03	 1.36103810E-04
 5.25872099E+00	 9.40058276E-03	 3.26132203E-03	 2.02460470E-05	 7.76476798E+01	 1.23262221E-03	 8.09583029E-07	 4.80474378E+01	 1.41448162E-03	 1.39416319E-04
 5.69010924E+00	 9.55479738E-03	 3.24313410E-03	 2.21604373E-05	 7.72426709E+01	 1.43301732E-03	 9.08549009E-07	 4.76846659E+01	 1.40944368E-03	 1.42611830E-04
 6.12041719E+00	 9.70531409E-03	 3.22607738E-03	 2.40775099E-05	 7.68396987E+01	 1.64505431E-03	 1.00621724E-06	 4.73251149E+01	 1.40275416E-03	 1.45706826E-04
 6.54960568E+00	 9.85226217E-03	 3.21004085E-03	 2.59963281E-05	 7.64387968E+01	 1.86813626E-03	 1.10213924E-06	 4.69687858E+01	 1.39693718E-03	 1.48710999E-04
 6.97757675E+00	 9.99574783E-03	 3.19493782E-03	 2.79158097E-05	 7.60400541E+01	 2.10161805E-03	 1.19594391E-06	 4.66157274E+01	 1.39100306E-03	 1.51630799E-04
 7.40430059E+00	 1.01358904E-02	 3.18068917E-03	 2.98353066E-05	 7.56434971E+01	 2.34487280E-03	 1.28735321E-06	 4.62659311E+01	 1.38395549E-03	 1.54471537E-04
 7.82994053E+00	 1.02728637E-02	 3.16721977E-03	 3.17551246E-05	 7.52489745E+01	 2.59736704E-03	 1.37619361E-06	 4.59192316E+01	 1.37807831E-03	 1.57238587E-04
 8.25450957E+00	 1.04067853E-02	 3.15447090E-03	 3.36749400E-05	 7.48564707E+01	 2.85861694E-03	 1.46236782E-06	 4.55755887E+01	 1.37167379E-03	 1.59935647E-04
 8.67801527E+00	 1.05377625E-02	 3.14238906E-03	 3.55944772E-05	 7.44659767E+01	 3.12811441E-03	 1.54580170E-06	 4.52349670E+01	 1.36505153E-03	 1.62565926E-04
 9.10049936E+00	 1.06659083E-02	 3.13092692E-03	 3.75136487E-05	 7.40774531E+01	 3.40538084E-03	 1.62645999E-06	 4.48973046E+01	 1.35883202E-03	 1.65132468E-04
 9.52191311E+00	 1.07913020E-02	 3.12004383E-03	 3.94319796E-05	 7.36909411E+01	 3.68994329E-03	 1.70433522E-06	 4.45626122E+01	 1.35262076E-03	 1.67637546E-04
 9.94224483E+00	 1.09140304E-02	 3.10970224E-03	 4.13492052E-05	 7.33064496E+01	 3.98132457E-03	 1.77943314E-06	 4.42308709E+01	 1.34617775E-03	 1.70083494E-04
 1.03615155E+01	 1.10341848E-02	 3.09986750E-03	 4.32652301E-05	 7.29239574E+01	 4.27908794E-03	 1.85178536E-06	 4.39020362E+01	 1.34011978E-03	 1.72472635E-04
 1.07798389E+01	 1.11518785E-02	 3.09050615E-03	 4.51803954E-05	 7.25433603E+01	 4.58285734E-03	 1.92144626E-06	 4.35759927E+01	 1.33412849E-03	 1.74807710E-04
 1.11973023E+01	 1.12672112E-02	 3.08158847E-03	 4.70949523E-05	 7.21645767E+01	 4.89230602E-03	 1.98849100E-06	 4.32526474E+01	 1.32784287E-03	 1.77091125E-04
