Time	K_par_r	K_par_t	K_par_p	K_perp_r	K_perp_t	K_perp_p	R	V	P	E_cons	dt	Flow_CFL	Wave_CFL
 0.00000000E+00	 7.89729953E+00	 6.14643868E+00	 0.00000000E+00	 6.24717482E+01	 6.14643868E+00	 0.00000000E+00	 8.33360415E-21	 0.00000000E+00	 0.00000000E+00	 1.35334527E+02	 4.44600156E-01	 4.00000000E-01	 3.58149428E-01
 4.44600156E-01	 7.86442090E+00	 6.13159128E+00	 3.74484083E-06	 6.21008389E+01	 6.13734574E+00	 3.88832466E-06	 1.99032749E-09	 0.00000000E+00	 0.00000000E+00	 1.34502590E+02	 4.39791487E-01	 4.00000000E-01	 3.54198321E-01
 8.84391643E-01	 7.83034179E+00	 6.11244996E+00	 1.37634092E-05	 6.17379010E+01	 6.12946561E+00	 1.45548024E-05	 3.91163664E-09	 0.00000000E+00	 0.00000000E+00	 1.33681669E+02	 4.39791487E-01	 4.00000000E-01	 3.54178967E-01
 1.32418313E+00	 7.79664431E+00	 6.09329722E+00	 2.85508185E-05	 6.13761614E+01	 6.12127756E+00	 3.03369639E-05	 4.67485549E-09	 0.00000000E+00	 0.00000000E+00	 1.32864519E+02	 4.39791487E-01	 4.00000000E-01	 3.54177124E-01
 1.76397462E+00	 7.76319571E+00	 6.07409213E+00	 4.64575745E-05	 6.10153493E+01	 6.11284580E+00	 4.94945069E-05	 4.80327666E-09	 0.00000000E+00	 0.00000000E+00	 1.32050761E+02	 4.39791487E-01	 4.00000000E-01	 3.54178630E-01
 2.20376611E+00	 7.72994011E+00	 6.05485498E+00	 6.62668457E-05	 6.06555226E+01	 6.10420243E+00	 7.07819424E-05	 4.69369937E-09	 0.00000000E+00	 0.00000000E+00	 1.31240468E+02	 4.39791487E-01	 4.00000000E-01	 3.54180176E-01
 2.64355759E+00	 7.69686293E+00	 6.03559129E+00	 8.73992709E-05	 6.02967281E+01	 6.09535870E+00	 9.35898610E-05	 4.52248694E-09	 0.00000000E+00	 0.00000000E+00	 1.30433688E+02	 4.38982578E-01	 4.00000000E-01	 3.53529824E-01
 3.08254017E+00	 7.66402732E+00	 6.01631735E+00	 1.09684777E-04	 5.99396658E+01	 6.08632582E+00	 1.17707170E-04	 4.35323268E-09	 0.00000000E+00	 0.00000000E+00	 1.29631907E+02	 4.37707618E-01	 4.00000000E-01	 3.52503760E-01
 3.52024779E+00	 7.63147271E+00	 5.99704473E+00	 1.33078780E-04	 5.95847389E+01	 6.07710420E+00	 1.43048554E-04	 4.20401435E-09	 0.00000000E+00	 0.00000000E+00	 1.28835954E+02	 4.36467592E-01	 4.00000000E-01	 3.51505576E-01
 3.95671538E+00	 7.59919448E+00	 5.97776997E+00	 1.57529544E-04	 5.92319326E+01	 6.06768891E+00	 1.69529726E-04	 4.07701056E-09	 0.00000000E+00	 0.00000000E+00	 1.28045735E+02	 4.35223345E-01	 4.00000000E-01	 3.50503834E-01
