r	v	rho	p	pw
1.0000	1.73684E-02	1.00000E+00	1.28600E-01	0
1.0123	1.82586E-02	9.28215E-01	1.18925E-01	0
1.0251	1.92010E-02	8.60869E-01	1.09882E-01	0
1.0385	2.02206E-02	7.96453E-01	1.01265E-01	0
1.0528	2.13359E-02	7.34426E-01	9.30007E-02	0
1.0681	2.25590E-02	6.74851E-01	8.50960E-02	0
1.0845	2.39027E-02	6.17831E-01	7.75629E-02	0
1.1020	2.53790E-02	5.63547E-01	7.04235E-02	0
1.1207	2.70014E-02	5.12129E-01	6.36926E-02	0
1.1408	2.87851E-02	4.63664E-01	5.73792E-02	0
1.1622	3.07460E-02	4.18225E-01	5.14898E-02	0
1.1851	3.29004E-02	3.75860E-01	4.60276E-02	0
1.2097	3.52685E-02	3.36542E-01	4.09856E-02	0
1.2359	3.78677E-02	3.00273E-01	3.63608E-02	0
1.2640	4.07209E-02	2.66965E-01	3.21380E-02	0
1.2940	4.38482E-02	2.36551E-01	2.83050E-02	0
1.3261	4.72737E-02	2.08908E-01	2.48424E-02	0
1.3605	5.10202E-02	1.83911E-01	2.17310E-02	0
1.3973	5.51118E-02	1.61414E-01	1.89487E-02	0
1.4366	5.95719E-02	1.41265E-01	1.64732E-02	0
1.4787	6.44253E-02	1.23294E-01	1.42801E-02	0
1.5237	6.96951E-02	1.07336E-01	1.23460E-02	0
1.5719	7.54014E-02	9.32281E-02	1.06479E-02	0
1.6234	8.15660E-02	8.07997E-02	9.16266E-03	0
1.6785	8.82082E-02	6.98897E-02	7.86819E-03	0
1.7374	9.53424E-02	6.03467E-02	6.74415E-03	0
1.8005	1.02984E-01	5.20237E-02	5.77101E-03	0
1.8680	1.11139E-01	4.47871E-02	4.93119E-03	0
1.9401	1.19817E-01	3.85100E-02	4.20817E-03	0
2.0173	1.29021E-01	3.30779E-02	3.58720E-03	0
2.0999	1.38747E-01	2.83872E-02	3.05506E-03	0
2.1883	1.48992E-01	2.43435E-02	2.59982E-03	0
2.2828	1.59744E-01	2.08639E-02	2.21108E-03	0
2.3839	1.70995E-01	1.78727E-02	1.87949E-03	0
2.4921	1.82723E-01	1.53052E-02	1.59706E-03	0
2.6078	1.94912E-01	1.31031E-02	1.35669E-03	0
2.7316	2.07540E-01	1.12157E-02	1.15229E-03	0
2.8640	2.20579E-01	9.59944E-03	9.78586E-04	0
3.0057	2.34005E-01	8.21583E-03	8.31046E-04	0
3.1572	2.47789E-01	7.03187E-03	7.05774E-04	0
3.3193	2.61900E-01	6.01902E-03	5.99436E-04	0
3.4927	2.76309E-01	5.15267E-03	5.09184E-04	0
3.6783	2.90986E-01	4.41164E-03	4.32585E-04	0
3.8767	3.05898E-01	3.77791E-03	3.67583E-04	0
4.0890	3.21016E-01	3.23586E-03	3.12414E-04	0
4.3162	3.36310E-01	2.77220E-03	2.65587E-04	0
4.5591	3.51751E-01	2.37553E-03	2.25834E-04	0
4.8190	3.67311E-01	2.03612E-03	1.92081E-04	0
5.0971	3.82962E-01	1.74566E-03	1.63417E-04	0
5.3945	3.98680E-01	1.49702E-03	1.39069E-04	0
5.7127	4.14439E-01	1.28413E-03	1.18381E-04	0
6.0531	4.30217E-01	1.10182E-03	1.00799E-04	0
6.4173	4.45992E-01	9.45650E-04	8.58535E-05	0
6.8068	4.61745E-01	8.11834E-04	7.31445E-05	0
7.2236	4.77457E-01	6.97144E-04	6.23347E-05	0
7.6694	4.93112E-01	5.98820E-04	5.31376E-05	0
8.1463	5.08692E-01	5.14503E-04	4.53105E-05	0
8.6564	5.24185E-01	4.42180E-04	3.86473E-05	0
9.2022	5.39577E-01	3.80124E-04	3.29733E-05	0
9.7860	5.54857E-01	3.26864E-04	2.81401E-05	0
10.4106	5.70014E-01	2.81141E-04	2.40221E-05	0
11.0787	5.85039E-01	2.41878E-04	2.05124E-05	0
11.7935	5.99924E-01	2.08152E-04	1.75202E-05	0
12.5581	6.14662E-01	1.79174E-04	1.49686E-05	0
13.3760	6.29246E-01	1.54271E-04	1.27920E-05	0
14.2511	6.43671E-01	1.32862E-04	1.09348E-05	0
15.1871	6.57933E-01	1.14453E-04	9.34972E-06	0
16.1885	6.72028E-01	9.86187E-05	7.99647E-06	0
17.2597	6.85952E-01	8.49959E-05	6.84083E-06	0
18.4057	6.99703E-01	7.32726E-05	5.85369E-06	0
19.6316	7.13279E-01	6.31813E-05	5.01025E-06	0
20.9430	7.26680E-01	5.44926E-05	4.28938E-06	0
22.3460	7.39903E-01	4.70096E-05	3.67314E-06	0
23.8468	7.52948E-01	4.05636E-05	3.14618E-06	0
25.4522	7.65816E-01	3.50093E-05	2.69546E-06	0
27.1698	7.78507E-01	3.02222E-05	2.30985E-06	0
29.0071	7.91020E-01	2.60954E-05	1.97985E-06	0
30.9726	8.03358E-01	2.25370E-05	1.69739E-06	0
33.0752	8.15521E-01	1.94679E-05	1.45555E-06	0
35.3245	8.27511E-01	1.68203E-05	1.24843E-06	0
37.7308	8.39329E-01	1.45357E-05	1.07102E-06	0
40.3049	8.50976E-01	1.25640E-05	9.19019E-07	0
43.0586	8.62456E-01	1.08619E-05	7.88751E-07	0
46.0043	8.73769E-01	9.39216E-06	6.77087E-07	0
49.1557	8.84917E-01	8.12288E-06	5.81348E-07	0
52.5268	8.95904E-01	7.02645E-06	4.99245E-07	0
56.1331	9.06731E-01	6.07915E-06	4.28821E-07	0
59.9911	9.17400E-01	5.26051E-06	3.68400E-07	0
64.1181	9.27915E-01	4.55292E-06	3.16552E-07	0
68.5331	9.38277E-01	3.94119E-06	2.72051E-07	0
73.2561	9.48488E-01	3.41224E-06	2.33848E-07	0
78.3086	9.58552E-01	2.95478E-06	2.01044E-07	0
83.7136	9.68471E-01	2.55906E-06	1.72873E-07	0
89.4956	9.78247E-01	2.21670E-06	1.48674E-07	0
95.6811	9.87882E-01	1.92045E-06	1.27883E-07	0
102.2980	9.97380E-01	1.66404E-06	1.10018E-07	0
109.3766	1.00674E+00	1.44209E-06	9.46635E-08	0
116.9490	1.01597E+00	1.24993E-06	8.14647E-08	0
125.0497	1.02507E+00	1.08353E-06	7.01169E-08	0
133.7155	1.03404E+00	9.39415E-07	6.03589E-08	0
142.9859	1.04289E+00	8.14582E-07	5.19664E-08	0
152.9031	1.05161E+00	7.06435E-07	4.47473E-08	0
163.5121	1.06021E+00	6.12727E-07	3.85364E-08	0
174.8612	1.06869E+00	5.31519E-07	3.31922E-08	0
187.0020	1.07706E+00	4.61134E-07	2.85930E-08	0
199.9899	1.08531E+00	4.00119E-07	2.46342E-08	0
213.8838	1.09345E+00	3.47219E-07	2.12263E-08	0
228.7471	1.10148E+00	3.01350E-07	1.82922E-08	0
244.6473	1.10940E+00	2.61571E-07	1.57656E-08	0
261.6567	1.11722E+00	2.27069E-07	1.35896E-08	0
279.8528	1.12493E+00	1.97140E-07	1.17153E-08	0
299.3183	1.13254E+00	1.71174E-07	1.01007E-08	0
320.1418	1.14005E+00	1.48645E-07	8.70960E-09	0
342.4181	1.14747E+00	1.29094E-07	7.51091E-09	0
366.2484	1.15478E+00	1.12126E-07	6.47790E-09	0
391.7412	1.16200E+00	9.73988E-08	5.58756E-09	0
419.0126	1.16913E+00	8.46139E-08	4.82008E-09	0
448.1865	1.17617E+00	7.35142E-08	4.15845E-09	0
479.3956	1.18312E+00	6.38767E-08	3.58798E-09	0
512.7819	1.18998E+00	5.55077E-08	3.09608E-09	0
548.4974	1.19676E+00	4.82396E-08	2.67187E-09	0
586.7047	1.20345E+00	4.19269E-08	2.30599E-09	0
627.5774	1.21006E+00	3.64434E-08	1.99040E-09	0
671.3016	1.21659E+00	3.16797E-08	1.71815E-09	0
718.0762	1.22303E+00	2.75410E-08	1.48327E-09	0
768.1096	1.22940E+00	2.39452E-08	1.28062E-09	0
821.5804	1.23569E+00	2.08233E-08	1.10591E-09	0
878.4880	1.24187E+00	1.81223E-08	9.55793E-10	0
938.3588	1.24788E+00	1.58070E-08	8.28004E-10	0
1000.0000	1.25362E+00	1.38546E-08	7.20968E-10	0
