Time	Wr	Wt	Wp	Kr	Kt	Kp	E	|JxB|	|J.B|
 0.00000000E+00	 7.43434120E+00	 7.02370775E-01	 1.80675443E-01	 3.80095560E+00	 0.00000000E+00	 0.00000000E+00	 5.96446224E+01	 2.01234796E-05	 4.00587332E-06
 9.00000000E-02	 7.45144763E+00	 6.90695219E-01	 1.76773433E-01	 3.80205550E+00	 3.14948260E-05	 8.21720777E-06	 5.96428399E+01	 1.53716579E+00	 3.15227139E-02
 1.80000000E-01	 7.46054080E+00	 6.82331183E-01	 1.75219662E-01	 3.80628827E+00	 2.89151592E-04	 7.53944177E-05	 5.95725450E+01	 1.53808098E+00	 7.30747642E-02
 2.70000000E-01	 7.47189416E+00	 6.73904570E-01	 1.72914642E-01	 3.81458186E+00	 9.03429854E-04	 2.18942186E-04	 5.97116829E+01	 1.44284829E+00	 9.35731249E-02
 3.60000000E-01	 7.48467323E+00	 6.65540065E-01	 1.70014810E-01	 3.82596976E+00	 1.76873051E-03	 3.91786827E-04	 5.99151118E+01	 1.56495144E+00	 1.27282052E-01
 4.43852524E-01	 7.49372500E+00	 6.59172402E-01	 1.68389502E-01	 3.84026892E+00	 2.78015030E-03	 5.81473547E-04	 6.01308562E+01	 1.64946702E+00	 1.58611299E-01
 5.20620681E-01	 7.50004726E+00	 6.54214473E-01	 1.67651221E-01	 3.85665053E+00	 3.80071765E-03	 7.71526682E-04	 6.03434262E+01	 1.57381685E+00	 1.94582347E-01
 5.91589491E-01	 7.50720392E+00	 6.49067943E-01	 1.66512019E-01	 3.87463783E+00	 4.79196307E-03	 9.52175478E-04	 6.05504186E+01	 1.45373118E+00	 2.12748498E-01
 6.58851276E-01	 7.51487864E+00	 6.43902096E-01	 1.65265246E-01	 3.89410497E+00	 5.79843383E-03	 1.12781955E-03	 6.07573631E+01	 1.46017593E+00	 2.23626466E-01
 7.21239514E-01	 7.52096669E+00	 6.39647175E-01	 1.64595280E-01	 3.91465481E+00	 6.84020162E-03	 1.30738653E-03	 6.09611053E+01	 1.48608309E+00	 2.38145184E-01
 7.78963330E-01	 7.52604796E+00	 6.36103803E-01	 1.64053635E-01	 3.93569217E+00	 7.86375293E-03	 1.49058602E-03	 6.11595545E+01	 1.50686256E+00	 2.52136933E-01
 8.33654449E-01	 7.53131604E+00	 6.32626087E-01	 1.63270954E-01	 3.95717087E+00	 8.83581869E-03	 1.67419507E-03	 6.13549143E+01	 1.47903184E+00	 2.64858533E-01
 8.86035329E-01	 7.53646395E+00	 6.29239438E-01	 1.62583039E-01	 3.97923777E+00	 9.77673930E-03	 1.85155379E-03	 6.15478065E+01	 1.46924956E+00	 2.78222049E-01
 9.36226513E-01	 7.54103353E+00	 6.26154930E-01	 1.62168121E-01	 4.00182486E+00	 1.07133870E-02	 2.02169132E-03	 6.17377000E+01	 1.48019746E+00	 2.90338601E-01
 9.84280960E-01	 7.54536725E+00	 6.23291746E-01	 1.61739427E-01	 4.02477616E+00	 1.16456503E-02	 2.18920574E-03	 6.19239693E+01	 1.49589071E+00	 3.01392895E-01
 1.03042846E+00	 7.54964816E+00	 6.20548015E-01	 1.61226876E-01	 4.04799081E+00	 1.25579123E-02	 2.35820223E-03	 6.21066297E+01	 1.51787147E+00	 3.11865116E-01
