Time	K_par_r	K_par_t	K_par_p	K_perp_r	K_perp_t	K_perp_p	R	V	P	E_cons	dt	Flow_CFL	Wave_CFL
 0.00000000E+00	 3.77974431E+00	 9.86910978E-03	 3.26792694E-04	 8.19479321E-04	 9.86910978E-03	 3.26792694E-04	 1.20631348E-15	 0.00000000E+00	 0.00000000E+00	 7.17629654E+01	 9.00000000E-02	 9.70498852E-02	 2.75345796E+01
 9.00000000E-02	 3.78053262E+00	 1.00866642E-02	 3.55404779E-04	 8.31174836E-04	 9.96138476E-03	 3.27959458E-04	 2.22076896E-05	 0.00000000E+00	 0.00000000E+00	 7.17638524E+01	 9.00000000E-02	 1.54485356E-01	 2.75227710E+01
 1.80000000E-01	 3.78414025E+00	 1.06964308E-02	 4.60061217E-04	 9.30451819E-04	 1.00895297E-02	 3.36088405E-04	 9.73342052E-06	 0.00000000E+00	 0.00000000E+00	 7.16972919E+01	 9.00000000E-02	 2.80119081E-01	 2.76883660E+01
 2.70000000E-01	 3.79161541E+00	 1.17398508E-02	 6.43318968E-04	 1.12218162E-03	 1.02334477E-02	 3.50022317E-04	 8.65939502E-06	 0.00000000E+00	 0.00000000E+00	 7.18461037E+01	 9.00000000E-02	 3.75262665E-01	 2.78745175E+01
 3.60000000E-01	 3.80202301E+00	 1.30562062E-02	 8.61236380E-04	 1.40890513E-03	 1.04084197E-02	 3.72501443E-04	 8.36930444E-06	 0.00000000E+00	 0.00000000E+00	 7.20634742E+01	 8.38525236E-02	 4.00000000E-01	 2.60422671E+01
 4.43852524E-01	 3.81523408E+00	 1.45373640E-02	 1.09381776E-03	 1.76117562E-03	 1.06038893E-02	 4.00215689E-04	 9.92890617E-06	 0.00000000E+00	 0.00000000E+00	 7.22957784E+01	 7.67681569E-02	 4.00000000E-01	 2.37898517E+01
 5.20620681E-01	 3.83047036E+00	 1.60599427E-02	 1.32303959E-03	 2.13061620E-03	 1.08091498E-02	 4.29665466E-04	 9.09178957E-06	 0.00000000E+00	 0.00000000E+00	 7.25265675E+01	 7.09688100E-02	 4.00000000E-01	 2.19239200E+01
 5.91589491E-01	 3.84727810E+00	 1.75944993E-02	 1.54908231E-03	 2.48560223E-03	 1.10156946E-02	 4.58994459E-04	 8.33650186E-06	 0.00000000E+00	 0.00000000E+00	 7.27535906E+01	 6.72617859E-02	 4.00000000E-01	 2.07559922E+01
 6.58851276E-01	 3.86558317E+00	 1.91533939E-02	 1.77377026E-03	 2.81701706E-03	 1.12171369E-02	 4.86737165E-04	 8.72615652E-06	 0.00000000E+00	 0.00000000E+00	 7.29824470E+01	 6.23882375E-02	 4.00000000E-01	 1.92471548E+01
 7.21239514E-01	 3.88503842E+00	 2.07186355E-02	 1.99270092E-03	 3.13066772E-03	 1.14119386E-02	 5.10031739E-04	 8.92361681E-06	 0.00000000E+00	 0.00000000E+00	 7.32091241E+01	 5.77238157E-02	 4.00000000E-01	 1.77787690E+01
 7.78963330E-01	 3.90505090E+00	 2.22469720E-02	 2.20212546E-03	 3.41661715E-03	 1.16002595E-02	 5.29634148E-04	 9.39342081E-06	 0.00000000E+00	 0.00000000E+00	 7.34308142E+01	 5.46911192E-02	 4.00000000E-01	 1.68036141E+01
 8.33654449E-01	 3.92553555E+00	 2.37373558E-02	 2.40022043E-03	 3.67901143E-03	 1.17832776E-02	 5.45460297E-04	 9.65318176E-06	 0.00000000E+00	 0.00000000E+00	 7.36498166E+01	 5.23808802E-02	 4.00000000E-01	 1.60684619E+01
 8.86035329E-01	 3.94662625E+00	 2.52085250E-02	 2.58828314E-03	 3.92137954E-03	 1.19633133E-02	 5.58304024E-04	 9.96660290E-06	 0.00000000E+00	 0.00000000E+00	 7.38669678E+01	 5.01911842E-02	 4.00000000E-01	 1.53850741E+01
 9.36226513E-01	 3.96827501E+00	 2.66651002E-02	 2.76977503E-03	 4.13652785E-03	 1.21416201E-02	 5.71901300E-04	 1.03394984E-05	 0.00000000E+00	 0.00000000E+00	 7.40816259E+01	 4.80544463E-02	 4.00000000E-01	 1.47122072E+01
 9.84280960E-01	 3.99033198E+00	 2.81001131E-02	 2.94529348E-03	 4.32861568E-03	 1.23180057E-02	 5.87008474E-04	 1.07064524E-05	 0.00000000E+00	 0.00000000E+00	 7.42929885E+01	 4.61474983E-02	 4.00000000E-01	 1.41014209E+01
