Time	vr_dp01	vt_dp01	vp_dp01	Br_dp01	Bt_dp01	Bp_dp01	Jr_dp01	Jt_dp01	Jp_dp01	rho_dp01	p_dp01
 0.00000000E+00	 2.11393766E-02	 0.00000000E+00	 0.00000000E+00	 2.57105102E+00	-4.49317345E-02	-1.70777286E-01	-1.26280918E-16	 3.23487820E-08	 3.26946722E-08	 1.50014704E+00	 1.90208588E-01
 9.00000000E-02	 2.31689791E-02	-1.19209646E-03	-3.35215572E-03	 2.56806123E+00	-4.53989672E-02	-1.70593376E-01	 7.86135794E-17	 9.77030058E-02	-3.88398430E-02	 1.50029308E+00	 1.90210225E-01
 1.80000000E-01	 3.56411665E-02	-1.01795397E-03	-2.16170545E-03	 2.56322610E+00	-4.47737630E-02	-1.65804889E-01	 2.28745297E-04	-9.48113415E-02	 7.64855532E-03	 1.47398637E+00	 1.86696451E-01
 2.70000000E-01	 5.15209425E-02	-8.12398609E-04	-2.17377126E-03	 2.56935329E+00	-4.62497046E-02	-1.68691954E-01	 4.95588100E-05	-4.83810763E-02	 7.76893234E-03	 1.45834649E+00	 1.84592999E-01
 3.60000000E-01	 6.45487854E-02	-1.48501674E-03	-4.77970639E-03	 2.56805666E+00	-4.72206975E-02	-1.70157996E-01	 2.39011698E-04	 1.08695055E-01	-6.74140714E-02	 1.45240738E+00	 1.83764900E-01
 4.43852524E-01	 7.31419159E-02	-2.26206892E-03	-6.37209105E-03	 2.55510736E+00	-4.65624249E-02	-1.68189926E-01	 7.54099361E-04	 4.30905735E-02	-8.79447433E-02	 1.45057162E+00	 1.83471581E-01
 5.20620681E-01	 7.94738975E-02	-2.35524071E-03	-5.59530079E-03	 2.54774459E+00	-4.61215556E-02	-1.67547198E-01	 1.13161686E-03	-1.00050632E-01	-4.98638762E-02	 1.45485460E+00	 1.83984913E-01
 5.91589491E-01	 8.49805756E-02	-2.03062047E-03	-4.75961533E-03	 2.55271246E+00	-4.62199561E-02	-1.67980043E-01	 1.24543004E-03	-1.01265271E-01	-3.94197039E-02	 1.46406688E+00	 1.85151216E-01
 6.58851276E-01	 9.02376064E-02	-2.13972495E-03	-5.85330748E-03	 2.55810644E+00	-4.59464941E-02	-1.67626324E-01	 1.10135387E-03	-1.31116759E-02	-9.04448896E-02	 1.47082497E+00	 1.85993824E-01
 7.21239514E-01	 9.57220626E-02	-2.69523062E-03	-7.38325257E-03	 2.55420611E+00	-4.53658707E-02	-1.66928357E-01	 9.75544153E-04	-1.36637322E-02	-1.25618399E-01	 1.47107848E+00	 1.85978846E-01
 7.78963330E-01	 1.01561244E-01	-3.01936196E-03	-7.50914886E-03	 2.54799073E+00	-4.53462793E-02	-1.66940261E-01	 1.21945841E-03	-8.70436975E-02	-1.02902380E-01	 1.46980422E+00	 1.85766560E-01
 8.33654449E-01	 1.07339104E-01	-2.92600504E-03	-6.94287787E-03	 2.54794977E+00	-4.57438326E-02	-1.67270211E-01	 1.61360848E-03	-1.13412489E-01	-7.16443762E-02	 1.47199468E+00	 1.86017407E-01
 8.86035329E-01	 1.12542171E-01	-2.88687422E-03	-7.23055881E-03	 2.55152968E+00	-4.57721886E-02	-1.67163816E-01	 1.69618037E-03	-7.50750710E-02	-7.92781065E-02	 1.47632038E+00	 1.86554989E-01
 9.36226513E-01	 1.17159907E-01	-3.13286305E-03	-8.21713299E-03	 2.55196959E+00	-4.53881279E-02	-1.66784453E-01	 1.50117093E-03	-5.28692336E-02	-1.03196807E-01	 1.47934181E+00	 1.86923682E-01
 9.84280960E-01	 1.21488320E-01	-3.38437285E-03	-8.77932208E-03	 2.54945691E+00	-4.53206381E-02	-1.66704031E-01	 1.43223407E-03	-7.97173909E-02	-1.00910909E-01	 1.48115654E+00	 1.87136103E-01
 1.03042846E+00	 1.25617480E-01	-3.42759811E-03	-8.69332436E-03	 2.54861284E+00	-4.57442057E-02	-1.66914649E-01	 1.58004856E-03	-1.09874453E-01	-7.90264787E-02	 1.48402492E+00	 1.87491285E-01
 1.07500181E+00	 1.29395377E-01	-3.42640112E-03	-8.65295582E-03	 2.55060877E+00	-4.60566106E-02	-1.67053200E-01	 1.68293585E-03	-1.08938649E-01	-6.89655274E-02	 1.48838879E+00	 1.88047635E-01
 1.11828344E+00	 1.32751762E-01	-3.57731062E-03	-9.03772224E-03	 2.55247553E+00	-4.58909181E-02	-1.67037487E-01	 1.63571663E-03	-9.42830492E-02	-7.69911268E-02	 1.49265576E+00	 1.88594116E-01
 1.16044266E+00	 1.35810921E-01	-3.79695859E-03	-9.51508846E-03	 2.55222850E+00	-4.56234741E-02	-1.67036460E-01	 1.58532925E-03	-9.38542235E-02	-8.30186825E-02	 1.49580250E+00	 1.88994798E-01
 1.20157262E+00	 1.38705847E-01	-3.90260799E-03	-9.72267169E-03	 2.55112024E+00	-4.56976431E-02	-1.67104581E-01	 1.62675971E-03	-1.06288460E-01	-7.64953934E-02	 1.49844632E+00	 1.89331041E-01
 1.24175024E+00	 1.41435876E-01	-3.89342754E-03	-9.74605728E-03	 2.55104910E+00	-4.60060595E-02	-1.67178783E-01	 1.68937386E-03	-1.15031488E-01	-6.67827116E-02	 1.50152036E+00	 1.89726246E-01
 1.28105967E+00	 1.43933372E-01	-3.91027608E-03	-9.85829344E-03	 2.55203136E+00	-4.61866783E-02	-1.67257770E-01	 1.71955811E-03	-1.14830176E-01	-6.38957545E-02	 1.50500613E+00	 1.90177877E-01
 1.31958137E+00	 1.46191159E-01	-4.01467141E-03	-1.01113069E-02	 2.55277379E+00	-4.61637721E-02	-1.67389392E-01	 1.75442179E-03	-1.12898903E-01	-6.58195291E-02	 1.50824493E+00	 1.90598487E-01
 1.35737596E+00	 1.48270579E-01	-4.13160513E-03	-1.03436285E-02	 2.55261899E+00	-4.61558291E-02	-1.67546426E-01	 1.80754246E-03	-1.15020265E-01	-6.57853176E-02	 1.51091114E+00	 1.90944650E-01
 1.39448522E+00	 1.50224572E-01	-4.18617357E-03	-1.04538279E-02	 2.55210584E+00	-4.62923244E-02	-1.67664225E-01	 1.83346740E-03	-1.19556776E-01	-6.26533244E-02	 1.51328265E+00	 1.91252944E-01
 1.43094614E+00	 1.52056831E-01	-4.19980809E-03	-1.05113119E-02	 2.55197457E+00	-4.64781049E-02	-1.67751073E-01	 1.82091025E-03	-1.22733317E-01	-5.98091128E-02	 1.51573280E+00	 1.91572691E-01
