Time	vr_norm	vt_norm	vp_norm	Br_norm	Bt_norm	Bp_norm	Jr_norm	Jt_norm	Jp_norm	rho_norm	Ar_norm	At_norm	Ap_norm
 0.00000000E+00	 2.46317442E+02	 0.00000000E+00	 0.00000000E+00	 3.85901959E+00	 1.18697300E+00	 6.01124684E-01	 3.25006949E-11	 9.22595907E-06	 7.52965290E-06	 2.48244558E+00	 0.00000000E+00	 2.76856631E-01	 1.46298067E+00
 9.00000000E-02	 2.46306837E+02	 1.44292542E-02	 7.57151768E-03	 3.86354064E+00	 1.17704828E+00	 5.94598071E-01	 9.71864653E-08	 8.69482856E-01	 1.21630126E+00	 2.48239083E+00	 2.68469044E-17	 2.78933491E-01	 1.47110907E+00
 1.80000000E-01	 2.46296244E+02	 3.58326399E-02	 1.79735770E-02	 3.86585698E+00	 1.16994096E+00	 5.91979158E-01	 3.26172347E-02	 4.82304762E-01	 8.68105977E-01	 2.45286029E+00	 1.36749430E-04	 2.80603879E-01	 1.47896009E+00
 2.70000000E-01	 2.46285680E+02	 6.17974393E-02	 2.89243840E-02	 3.86881639E+00	 1.16269950E+00	 5.88072515E-01	 5.22057524E-02	 5.02214786E-01	 7.91436643E-01	 2.46332666E+00	 3.33891782E-04	 2.82429712E-01	 1.48683700E+00
 3.60000000E-01	 2.46275176E+02	 9.08763562E-02	 4.03502852E-02	 3.87219022E+00	 1.15544184E+00	 5.83120589E-01	 6.71019604E-02	 4.76005321E-01	 7.87824065E-01	 2.47880989E+00	 5.57544692E-04	 2.84363281E-01	 1.49464776E+00
 4.43852524E-01	 2.46265460E+02	 1.21246387E-01	 5.20124186E-02	 3.87454915E+00	 1.14991266E+00	 5.80326636E-01	 7.75191939E-02	 5.61358890E-01	 8.29606841E-01	 2.49185975E+00	 7.93632052E-04	 2.86021068E-01	 1.50174560E+00
 5.20620681E-01	 2.46256658E+02	 1.51683230E-01	 6.34912742E-02	 3.87617025E+00	 1.14560388E+00	 5.79053057E-01	 8.69138650E-02	 5.11873393E-01	 8.09363136E-01	 2.50235767E+00	 1.02584136E-03	 2.87383689E-01	 1.50811286E+00
 5.91589491E-01	 2.46248640E+02	 1.82032408E-01	 7.47739494E-02	 3.87803971E+00	 1.14108123E+00	 5.77082350E-01	 9.69531964E-02	 4.66963928E-01	 7.86901429E-01	 2.51061958E+00	 1.23443574E-03	 2.88662966E-01	 1.51397228E+00
 6.58851276E-01	 2.46241190E+02	 2.12664299E-01	 8.61129161E-02	 3.88005050E+00	 1.13651934E+00	 5.74917814E-01	 1.03832131E-01	 4.78485213E-01	 8.03813539E-01	 2.51782938E+00	 1.43063010E-03	 2.89917625E-01	 1.51951812E+00
 7.21239514E-01	 2.46234437E+02	 2.42601069E-01	 9.72239958E-02	 3.88162205E+00	 1.13276821E+00	 5.73751305E-01	 1.07510043E-01	 4.85157460E-01	 8.10635990E-01	 2.52493450E+00	 1.61975277E-03	 2.91032028E-01	 1.52460254E+00
 7.78963330E-01	 2.46228350E+02	 2.71390408E-01	 1.08013619E-01	 3.88293316E+00	 1.12963992E+00	 5.72806486E-01	 1.12356291E-01	 5.01326496E-01	 8.30092143E-01	 2.53198282E+00	 1.80094605E-03	 2.92016198E-01	 1.52923655E+00
 8.33654449E-01	 2.46222755E+02	 2.99515802E-01	 1.18595788E-01	 3.88431157E+00	 1.12654696E+00	 5.71438455E-01	 1.19437460E-01	 5.17710893E-01	 8.34479070E-01	 2.53871297E+00	 1.97503536E-03	 2.92940835E-01	 1.53359201E+00
 8.86035329E-01	 2.46217580E+02	 3.27234198E-01	 1.29012585E-01	 3.88565241E+00	 1.12352822E+00	 5.70233354E-01	 1.23299886E-01	 5.18558823E-01	 8.52925459E-01	 2.54502355E+00	 2.14221287E-03	 2.93813402E-01	 1.53774873E+00
 9.36226513E-01	 2.46212811E+02	 3.54516675E-01	 1.39232490E-01	 3.88683025E+00	 1.12078097E+00	 5.69505260E-01	 1.27225419E-01	 5.33519502E-01	 8.65546496E-01	 2.55100380E+00	 2.30414919E-03	 2.94623343E-01	 1.54170837E+00
 9.84280960E-01	 2.46208438E+02	 3.81265708E-01	 1.49272242E-01	 3.88795020E+00	 1.11822350E+00	 5.68752015E-01	 1.32032577E-01	 5.38629643E-01	 8.82975724E-01	 2.55670313E+00	 2.46162957E-03	 2.95384127E-01	 1.54546773E+00
 1.03042846E+00	 2.46204436E+02	 4.07490153E-01	 1.59133746E-01	 3.88906554E+00	 1.11576127E+00	 5.67850114E-01	 1.38501364E-01	 5.62049794E-01	 8.96581929E-01	 2.56212282E+00	 2.61441455E-03	 2.96102363E-01	 1.54904994E+00
 1.07500181E+00	 2.46200772E+02	 4.33299385E-01	 1.68819235E-01	 3.89009153E+00	 1.11345281E+00	 5.67160891E-01	 1.43006794E-01	 5.65005157E-01	 9.12616730E-01	 2.56728651E+00	 2.76246478E-03	 2.96771294E-01	 1.55248891E+00
 1.11828344E+00	 2.46197420E+02	 4.58802316E-01	 1.78328782E-01	 3.89104653E+00	 1.11128702E+00	 5.66642488E-01	 1.47535557E-01	 5.76920168E-01	 9.28076841E-01	 2.57221560E+00	 2.90585680E-03	 2.97406513E-01	 1.55581011E+00
 1.16044266E+00	 2.46194365E+02	 4.84049859E-01	 1.87684165E-01	 3.89200396E+00	 1.10916782E+00	 5.66037027E-01	 1.52790402E-01	 5.82846718E-01	 9.43230980E-01	 2.57692802E+00	 3.04547573E-03	 2.98020890E-01	 1.55902598E+00
 1.20157262E+00	 2.46191599E+02	 5.09043402E-01	 1.96889554E-01	 3.89294841E+00	 1.10710256E+00	 5.65382403E-01	 1.58021090E-01	 6.00268643E-01	 9.58261729E-01	 2.58144819E+00	 3.18235754E-03	 2.98611056E-01	 1.56214185E+00
 1.24175024E+00	 2.46189117E+02	 5.33781598E-01	 2.05932949E-01	 3.89381407E+00	 1.10516638E+00	 5.64911565E-01	 1.61616197E-01	 6.09795857E-01	 9.72110165E-01	 2.58579780E+00	 3.31675546E-03	 2.99166567E-01	 1.56516473E+00
 1.28105967E+00	 2.46186910E+02	 5.58279743E-01	 2.14802749E-01	 3.89463526E+00	 1.10333990E+00	 5.64522618E-01	 1.65548706E-01	 6.21092186E-01	 9.86549695E-01	 2.58997023E+00	 3.44798424E-03	 2.99698994E-01	 1.56810502E+00
 1.31958137E+00	 2.46184974E+02	 5.82559406E-01	 2.23503508E-01	 3.89546322E+00	 1.10155226E+00	 5.64056213E-01	 1.70695432E-01	 6.30618179E-01	 1.00102982E+00	 2.59396696E+00	 3.57547530E-03	 3.00217596E-01	 1.57097116E+00
 1.35737596E+00	 2.46183305E+02	 6.06628949E-01	 2.32039319E-01	 3.89627855E+00	 1.09980238E+00	 5.63567340E-01	 1.75504318E-01	 6.45002822E-01	 1.01578136E+00	 2.59780758E+00	 3.69948466E-03	 3.00719253E-01	 1.57376696E+00
 1.39448522E+00	 2.46181898E+02	 6.30484897E-01	 2.40407085E-01	 3.89704134E+00	 1.09813350E+00	 5.63191516E-01	 1.78499134E-01	 6.55360240E-01	 1.03036390E+00	 2.60150823E+00	 3.82061830E-03	 3.01198976E-01	 1.57649510E+00
 1.43094614E+00	 2.46180753E+02	 6.54125862E-01	 2.48601826E-01	 3.89777500E+00	 1.09653783E+00	 5.62861781E-01	 1.81497459E-01	 6.67616609E-01	 1.04501648E+00	 2.60506319E+00	 3.93907499E-03	 3.01663383E-01	 1.57916061E+00
 1.46680269E+00	 2.46179865E+02	 6.77560299E-01	 2.56625848E-01	 3.89851363E+00	 1.09497951E+00	 5.62468738E-01	 1.85646182E-01	 6.78907047E-01	 1.05960492E+00	 2.60847122E+00	 4.05479908E-03	 3.02118165E-01	 1.58176914E+00
