Time	Wr	Wt	Wp	Kr	Kt	Kp	E	|JxB|	|J.B|
 0.00000000E+00	 1.24425869E+00	 6.09563572E-01	 6.28220858E-02	 2.52489397E-01	 0.00000000E+00	 0.00000000E+00	 1.34333575E+00	 8.87152653E-04	 3.07928960E-04
 1.00000000E-02	 1.24586991E+00	 6.08112915E-01	 6.26449585E-02	 2.52502488E-01	 1.31680655E-08	 1.02516208E-08	 1.33283266E+00	 1.72281221E-01	 3.65788851E-03
 2.00000000E-02	 1.24726959E+00	 6.06729303E-01	 6.26240632E-02	 2.52504104E-01	 1.03968985E-07	 7.54127172E-08	 1.33345216E+00	 2.69361530E-01	 9.82938187E-03
 3.00000000E-02	 1.24864663E+00	 6.05360405E-01	 6.26138768E-02	 2.52500298E-01	 2.78629564E-07	 1.84873528E-07	 1.33420057E+00	 3.15374779E-01	 1.25443330E-02
 4.00000000E-02	 1.25006738E+00	 6.03989196E-01	 6.25638421E-02	 2.52491415E-01	 5.47199087E-07	 3.24302848E-07	 1.33498738E+00	 3.46875109E-01	 1.47095268E-02
 5.00000000E-02	 1.25142536E+00	 6.02648439E-01	 6.25528999E-02	 2.52478195E-01	 9.12654274E-07	 4.85183133E-07	 1.33577543E+00	 3.85829294E-01	 1.74517008E-02
 6.00000000E-02	 1.25277072E+00	 6.01326011E-01	 6.25400744E-02	 2.52461127E-01	 1.37523366E-06	 6.60821431E-07	 1.33654932E+00	 4.34796251E-01	 2.04426430E-02
 7.00000000E-02	 1.25413323E+00	 6.00011314E-01	 6.25047069E-02	 2.52440466E-01	 1.95655424E-06	 8.51664861E-07	 1.33730254E+00	 4.84680172E-01	 2.26143353E-02
 8.00000000E-02	 1.25545396E+00	 5.98719511E-01	 6.24931572E-02	 2.52416377E-01	 2.68650230E-06	 1.05899771E-06	 1.33803355E+00	 5.32892645E-01	 2.50418251E-02
 9.00000000E-02	 1.25675948E+00	 5.97446554E-01	 6.24814043E-02	 2.52389019E-01	 3.59209435E-06	 1.27637026E-06	 1.33874272E+00	 5.78153300E-01	 2.70701695E-02
 1.00000000E-01	 1.25806472E+00	 5.96188888E-01	 6.24572701E-02	 2.52358519E-01	 4.70474479E-06	 1.50402605E-06	 1.33943612E+00	 6.20718441E-01	 2.91015077E-02
 1.10000000E-01	 1.25933767E+00	 5.94953886E-01	 6.24466283E-02	 2.52325004E-01	 6.05506863E-06	 1.74629848E-06	 1.34011829E+00	 6.59094164E-01	 3.11559649E-02
 1.20000000E-01	 1.26059606E+00	 5.93737761E-01	 6.24344491E-02	 2.52288624E-01	 7.67294562E-06	 2.00080252E-06	 1.34079199E+00	 6.95967131E-01	 3.32341760E-02
 1.30000000E-01	 1.26184474E+00	 5.92539441E-01	 6.24165127E-02	 2.52249505E-01	 9.59043524E-06	 2.26636924E-06	 1.34145817E+00	 7.32059758E-01	 3.53384429E-02
 1.40000000E-01	 1.26306343E+00	 5.91364289E-01	 6.24085298E-02	 2.52207780E-01	 1.18326207E-05	 2.53966776E-06	 1.34211842E+00	 7.67421715E-01	 3.73102369E-02
 1.50000000E-01	 1.26426700E+00	 5.90208874E-01	 6.23981525E-02	 2.52163590E-01	 1.44240485E-05	 2.81911117E-06	 1.34277329E+00	 7.99700585E-01	 3.90293159E-02
 1.60000000E-01	 1.26545815E+00	 5.89072278E-01	 6.23832061E-02	 2.52117051E-01	 1.73890727E-05	 3.10928636E-06	 1.34342316E+00	 8.28697939E-01	 4.07719330E-02
 1.70000000E-01	 1.26662034E+00	 5.87959144E-01	 6.23762824E-02	 2.52068291E-01	 2.07437741E-05	 3.41192817E-06	 1.34406829E+00	 8.56789782E-01	 4.24646159E-02
 1.80000000E-01	 1.26776556E+00	 5.86866337E-01	 6.23678059E-02	 2.52017449E-01	 2.44980232E-05	 3.71821872E-06	 1.34470870E+00	 8.83619508E-01	 4.39555722E-02
 1.90000000E-01	 1.26889905E+00	 5.85791585E-01	 6.23543039E-02	 2.51964630E-01	 2.86687685E-05	 4.02371028E-06	 1.34534447E+00	 9.06550305E-01	 4.54014535E-02
 2.00000000E-01	 1.27000503E+00	 5.84739618E-01	 6.23474317E-02	 2.51909940E-01	 3.32658137E-05	 4.33622308E-06	 1.34597579E+00	 9.29297686E-01	 4.68976262E-02
 2.10000000E-01	 1.27108969E+00	 5.83709611E-01	 6.23414854E-02	 2.51853515E-01	 3.82857937E-05	 4.65140067E-06	 1.34660140E+00	 9.52161306E-01	 4.83195869E-02
 2.20000000E-01	 1.27216238E+00	 5.82697860E-01	 6.23301741E-02	 2.51795452E-01	 4.37310763E-05	 4.96784772E-06	 1.34720552E+00	 9.71215506E-01	 4.96926731E-02
 2.30000000E-01	 1.27321075E+00	 5.81707192E-01	 6.23234071E-02	 2.51735844E-01	 4.96050264E-05	 5.28698578E-06	 1.34775376E+00	 9.90409948E-01	 5.11340017E-02
 2.40000000E-01	 1.27423373E+00	 5.80739032E-01	 6.23208145E-02	 2.51674820E-01	 5.58971783E-05	 5.59954850E-06	 1.34824494E+00	 1.00918360E+00	 5.25664805E-02
 2.50000000E-01	 1.27524398E+00	 5.79789771E-01	 6.23127915E-02	 2.51612479E-01	 6.25993779E-05	 5.90116828E-06	 1.34870180E+00	 1.02558028E+00	 5.39659892E-02
 2.60000000E-01	 1.27623882E+00	 5.78858967E-01	 6.23024591E-02	 2.51548871E-01	 6.97142441E-05	 6.20333195E-06	 1.34914339E+00	 1.04095176E+00	 5.53735294E-02
 2.70000000E-01	 1.27721129E+00	 5.77948549E-01	 6.22950269E-02	 2.51484074E-01	 7.72351858E-05	 6.50570621E-06	 1.34957860E+00	 1.05560120E+00	 5.68109461E-02
 2.80000000E-01	 1.27816479E+00	 5.77057908E-01	 6.22874478E-02	 2.51418189E-01	 8.51432306E-05	 6.80001344E-06	 1.35001061E+00	 1.06977973E+00	 5.81755275E-02
 2.90000000E-01	 1.27909910E+00	 5.76186476E-01	 6.22803923E-02	 2.51351296E-01	 9.34207676E-05	 7.08692558E-06	 1.35044043E+00	 1.08322101E+00	 5.94607861E-02
 3.00000000E-01	 1.28001127E+00	 5.75334242E-01	 6.22769022E-02	 2.51283473E-01	 1.02054711E-04	 7.36582810E-06	 1.35086839E+00	 1.09557060E+00	 6.08026786E-02
 3.10000000E-01	 1.28090624E+00	 5.74499645E-01	 6.22733748E-02	 2.51214791E-01	 1.11035469E-04	 7.63447287E-06	 1.35129448E+00	 1.10607227E+00	 6.21661285E-02
 3.20000000E-01	 1.28178657E+00	 5.73682500E-01	 6.22673166E-02	 2.51145299E-01	 1.20354209E-04	 7.89458062E-06	 1.35171865E+00	 1.11571592E+00	 6.34497474E-02
 3.30000000E-01	 1.28264777E+00	 5.72884595E-01	 6.22615764E-02	 2.51075061E-01	 1.29994050E-04	 8.14488363E-06	 1.35214090E+00	 1.12542431E+00	 6.47830470E-02
 3.40000000E-01	 1.28349021E+00	 5.72105247E-01	 6.22563826E-02	 2.51004155E-01	 1.39933571E-04	 8.38443471E-06	 1.35256118E+00	 1.13498360E+00	 6.61443664E-02
 3.50000000E-01	 1.28431765E+00	 5.71341978E-01	 6.22502209E-02	 2.50932629E-01	 1.50160653E-04	 8.61891664E-06	 1.35297944E+00	 1.14293135E+00	 6.75107195E-02
