Time	K_par_r	K_par_t	K_par_p	K_perp_r	K_perp_t	K_perp_p	R	V	P	E_cons	dt	Flow_CFL	Wave_CFL
 0.00000000E+00	 4.96935658E-02	 2.70125575E-02	 3.42234704E-05	 1.48702269E-01	 2.70125575E-02	 3.42234704E-05	 1.03486399E-11	 0.00000000E+00	 0.00000000E+00	 3.51246949E+00	 1.00000000E-02	 1.97655292E-02	 4.24555664E+01
 1.00000000E-02	 4.97208514E-02	 2.70307003E-02	 3.42579474E-05	 1.48652475E-01	 2.70300284E-02	 3.41981389E-05	 2.17052980E-07	 0.00000000E+00	 0.00000000E+00	 3.50196296E+00	 1.00000000E-02	 2.68742049E-02	 4.22194022E+01
 2.00000000E-02	 4.97454185E-02	 2.70476597E-02	 3.42920681E-05	 1.48597712E-01	 2.70450807E-02	 3.41200161E-05	 4.14125877E-07	 0.00000000E+00	 0.00000000E+00	 3.50257940E+00	 1.00000000E-02	 2.04148043E-02	 4.22915913E+01
 3.00000000E-02	 4.97688801E-02	 2.70642079E-02	 3.43293700E-05	 1.48540732E-01	 2.70585928E-02	 3.40185137E-05	 6.08745767E-07	 0.00000000E+00	 0.00000000E+00	 3.50332225E+00	 1.00000000E-02	 2.43257059E-02	 4.23716245E+01
 4.00000000E-02	 4.97912690E-02	 2.70803740E-02	 3.43672811E-05	 1.48481703E-01	 2.70706672E-02	 3.39060199E-05	 8.16159195E-07	 0.00000000E+00	 0.00000000E+00	 3.50410010E+00	 1.00000000E-02	 2.74174262E-02	 4.24469400E+01
 5.00000000E-02	 4.98128326E-02	 2.70962554E-02	 3.44038271E-05	 1.48420874E-01	 2.70814371E-02	 3.37903696E-05	 1.07523143E-06	 0.00000000E+00	 0.00000000E+00	 3.50488175E+00	 1.00000000E-02	 3.28589186E-02	 4.25350797E+01
 6.00000000E-02	 4.98337401E-02	 2.71119146E-02	 3.44432498E-05	 1.48358393E-01	 2.70909951E-02	 3.36771197E-05	 1.37074124E-06	 0.00000000E+00	 0.00000000E+00	 3.50564933E+00	 1.00000000E-02	 4.11675807E-02	 4.25938060E+01
 7.00000000E-02	 4.98540708E-02	 2.71273855E-02	 3.44858524E-05	 1.48294350E-01	 2.70994130E-02	 3.35695683E-05	 1.67925596E-06	 0.00000000E+00	 0.00000000E+00	 3.50639512E+00	 1.00000000E-02	 4.74810177E-02	 4.26414932E+01
 8.00000000E-02	 4.98738629E-02	 2.71426880E-02	 3.45306061E-05	 1.48228816E-01	 2.71067553E-02	 3.34701311E-05	 2.01074194E-06	 0.00000000E+00	 0.00000000E+00	 3.50712038E+00	 1.00000000E-02	 5.56074562E-02	 4.26974251E+01
 9.00000000E-02	 4.98931515E-02	 2.71578368E-02	 3.45797420E-05	 1.48161851E-01	 2.71130875E-02	 3.33804501E-05	 2.35946567E-06	 0.00000000E+00	 0.00000000E+00	 3.50782414E+00	 1.00000000E-02	 6.44426981E-02	 4.27365311E+01
 1.00000000E-01	 4.99119598E-02	 2.71728419E-02	 3.46329835E-05	 1.48093517E-01	 2.71184746E-02	 3.33012269E-05	 2.71753538E-06	 0.00000000E+00	 0.00000000E+00	 3.50851184E+00	 1.00000000E-02	 7.20053063E-02	 4.27738714E+01
 1.10000000E-01	 4.99303125E-02	 2.71877121E-02	 3.46905197E-05	 1.48023874E-01	 2.71229835E-02	 3.32326198E-05	 3.09292689E-06	 0.00000000E+00	 0.00000000E+00	 3.50918943E+00	 1.00000000E-02	 8.04905687E-02	 4.28278072E+01
 1.20000000E-01	 4.99482429E-02	 2.72024572E-02	 3.47533220E-05	 1.47952985E-01	 2.71266824E-02	 3.31763677E-05	 3.47399322E-06	 0.00000000E+00	 0.00000000E+00	 3.50985874E+00	 1.00000000E-02	 8.88223759E-02	 4.28817356E+01
 1.30000000E-01	 4.99657733E-02	 2.72170851E-02	 3.48198354E-05	 1.47880913E-01	 2.71296373E-02	 3.31333266E-05	 3.84910200E-06	 0.00000000E+00	 0.00000000E+00	 3.51052044E+00	 1.00000000E-02	 9.67318565E-02	 4.29377935E+01
 1.40000000E-01	 4.99829249E-02	 2.72316027E-02	 3.48909103E-05	 1.47807720E-01	 2.71319128E-02	 3.31000438E-05	 4.23136487E-06	 0.00000000E+00	 0.00000000E+00	 3.51117708E+00	 1.00000000E-02	 1.04685525E-01	 4.30058078E+01
 1.50000000E-01	 4.99997238E-02	 2.72460174E-02	 3.49668373E-05	 1.47733473E-01	 2.71335733E-02	 3.30781596E-05	 4.60618290E-06	 0.00000000E+00	 0.00000000E+00	 3.51182845E+00	 1.00000000E-02	 1.12401520E-01	 4.30722211E+01
 1.60000000E-01	 5.00161856E-02	 2.72603356E-02	 3.50461333E-05	 1.47658236E-01	 2.71346772E-02	 3.30692025E-05	 4.96562838E-06	 0.00000000E+00	 0.00000000E+00	 3.51247470E+00	 1.00000000E-02	 1.19244732E-01	 4.31345215E+01
 1.70000000E-01	 5.00323282E-02	 2.72745626E-02	 3.51318804E-05	 1.47582071E-01	 2.71352829E-02	 3.30698919E-05	 5.32929121E-06	 0.00000000E+00	 0.00000000E+00	 3.51311690E+00	 1.00000000E-02	 1.26293528E-01	 4.31993298E+01
 1.80000000E-01	 5.00481720E-02	 2.72887037E-02	 3.52234514E-05	 1.47505042E-01	 2.71354448E-02	 3.30797371E-05	 5.68869730E-06	 0.00000000E+00	 0.00000000E+00	 3.51375452E+00	 1.00000000E-02	 1.33269730E-01	 4.32764094E+01
 1.90000000E-01	 5.00637253E-02	 2.73027632E-02	 3.53158467E-05	 1.47427208E-01	 2.71352121E-02	 3.30981036E-05	 6.03083718E-06	 0.00000000E+00	 0.00000000E+00	 3.51438725E+00	 1.00000000E-02	 1.39363542E-01	 4.36260581E+01
 2.00000000E-01	 5.00790011E-02	 2.73167455E-02	 3.54120723E-05	 1.47348628E-01	 2.71346309E-02	 3.31242407E-05	 6.37609186E-06	 0.00000000E+00	 0.00000000E+00	 3.51501600E+00	 1.00000000E-02	 1.45518067E-01	 4.39868411E+01
 2.10000000E-01	 5.00940192E-02	 2.73306551E-02	 3.55149005E-05	 1.47269361E-01	 2.71337450E-02	 3.31565937E-05	 6.72252358E-06	 0.00000000E+00	 0.00000000E+00	 3.51563928E+00	 1.00000000E-02	 1.51837233E-01	 4.43567690E+01
 2.20000000E-01	 5.01087864E-02	 2.73444953E-02	 3.56203608E-05	 1.47189460E-01	 2.71325940E-02	 3.31954767E-05	 7.05416867E-06	 0.00000000E+00	 0.00000000E+00	 3.51624080E+00	 1.00000000E-02	 1.57280489E-01	 4.47289125E+01
 2.30000000E-01	 5.01233091E-02	 2.73582691E-02	 3.57287481E-05	 1.47108976E-01	 2.71312145E-02	 3.32383834E-05	 7.38501944E-06	 0.00000000E+00	 0.00000000E+00	 3.51678663E+00	 1.00000000E-02	 1.62345532E-01	 4.51035722E+01
 2.40000000E-01	 5.01376075E-02	 2.73719809E-02	 3.58432954E-05	 1.47027961E-01	 2.71296395E-02	 3.32842486E-05	 7.71982335E-06	 0.00000000E+00	 0.00000000E+00	 3.51727569E+00	 1.00000000E-02	 1.67698856E-01	 4.54809977E+01
 2.50000000E-01	 5.01516908E-02	 2.73856334E-02	 3.59619975E-05	 1.46946462E-01	 2.71278986E-02	 3.33320761E-05	 8.04384080E-06	 0.00000000E+00	 0.00000000E+00	 3.51773025E+00	 1.00000000E-02	 1.72579154E-01	 4.58542419E+01
 2.60000000E-01	 5.01655543E-02	 2.73992283E-02	 3.60824039E-05	 1.46864524E-01	 2.71260187E-02	 3.33805917E-05	 8.36073778E-06	 0.00000000E+00	 0.00000000E+00	 3.51816945E+00	 1.00000000E-02	 1.76868343E-01	 4.62192087E+01
 2.70000000E-01	 5.01792041E-02	 2.74127675E-02	 3.62048501E-05	 1.46782187E-01	 2.71240229E-02	 3.34281398E-05	 8.67819025E-06	 0.00000000E+00	 0.00000000E+00	 3.51860239E+00	 1.00000000E-02	 1.81308505E-01	 4.65754608E+01
 2.80000000E-01	 5.01926521E-02	 2.74262534E-02	 3.63292253E-05	 1.46699492E-01	 2.71219304E-02	 3.34748738E-05	 8.98936379E-06	 0.00000000E+00	 0.00000000E+00	 3.51903208E+00	 1.00000000E-02	 1.86066875E-01	 4.69202998E+01
 2.90000000E-01	 5.02059028E-02	 2.74396875E-02	 3.64555125E-05	 1.46616476E-01	 2.71197601E-02	 3.35215418E-05	 9.29321621E-06	 0.00000000E+00	 0.00000000E+00	 3.51945950E+00	 1.00000000E-02	 1.90415879E-01	 4.72514829E+01
 3.00000000E-01	 5.02189631E-02	 2.74530720E-02	 3.65850657E-05	 1.46533176E-01	 2.71175301E-02	 3.35675260E-05	 9.59386595E-06	 0.00000000E+00	 0.00000000E+00	 3.51988508E+00	 1.00000000E-02	 1.94774160E-01	 4.75674753E+01
 3.10000000E-01	 5.02318408E-02	 2.74664094E-02	 3.67184316E-05	 1.46449626E-01	 2.71152543E-02	 3.36121132E-05	 9.88573336E-06	 0.00000000E+00	 0.00000000E+00	 3.52030868E+00	 1.00000000E-02	 1.99018411E-01	 4.78640808E+01
 3.20000000E-01	 5.02445371E-02	 2.74797015E-02	 3.68539544E-05	 1.46365858E-01	 2.71129431E-02	 3.36541657E-05	 1.01671262E-05	 0.00000000E+00	 0.00000000E+00	 3.52073016E+00	 1.00000000E-02	 2.02740245E-01	 4.81375029E+01
 3.30000000E-01	 5.02570572E-02	 2.74929498E-02	 3.69897343E-05	 1.46281901E-01	 2.71106085E-02	 3.36934619E-05	 1.04444533E-05	 0.00000000E+00	 0.00000000E+00	 3.52114972E+00	 1.00000000E-02	 2.06366564E-01	 4.83868179E+01
 3.40000000E-01	 5.02694111E-02	 2.75061565E-02	 3.71262421E-05	 1.46197785E-01	 2.71082631E-02	 3.37303595E-05	 1.07164344E-05	 0.00000000E+00	 0.00000000E+00	 3.52156727E+00	 1.00000000E-02	 2.10112806E-01	 4.86106255E+01
 3.50000000E-01	 5.02816019E-02	 2.75193237E-02	 3.72649904E-05	 1.46113537E-01	 2.71059160E-02	 3.37645485E-05	 1.09783505E-05	 0.00000000E+00	 0.00000000E+00	 3.52198259E+00	 1.00000000E-02	 2.13473849E-01	 4.88060859E+01
 3.60000000E-01	 5.02936329E-02	 2.75324532E-02	 3.74053766E-05	 1.46029180E-01	 2.71035716E-02	 3.37956360E-05	 1.12320964E-05	 0.00000000E+00	 0.00000000E+00	 3.52239570E+00	 1.00000000E-02	 2.16488066E-01	 4.89712113E+01
 3.70000000E-01	 5.03055147E-02	 2.75455468E-02	 3.75455748E-05	 1.45944738E-01	 2.71012343E-02	 3.38240308E-05	 1.14789750E-05	 0.00000000E+00	 0.00000000E+00	 3.52280666E+00	 1.00000000E-02	 2.19579857E-01	 4.91049491E+01
 3.80000000E-01	 5.03172549E-02	 2.75586065E-02	 3.76851543E-05	 1.45860232E-01	 2.70989105E-02	 3.38508716E-05	 1.17173598E-05	 0.00000000E+00	 0.00000000E+00	 3.52321533E+00	 1.00000000E-02	 2.22588640E-01	 4.92063828E+01
 3.90000000E-01	 5.03288557E-02	 2.75716343E-02	 3.78249079E-05	 1.45775683E-01	 2.70966069E-02	 3.38765478E-05	 1.19480573E-05	 0.00000000E+00	 0.00000000E+00	 3.52362171E+00	 1.00000000E-02	 2.25282151E-01	 4.92742906E+01
