rh    vr    ne    p    pw
   1.00000E+00   8.44654E-08   4.00000E+04   4.99189E+01   0.00000E+00
   1.00024E+00   9.13962E-08   3.40732E+04   4.25589E+01   0.00000E+00
   1.00049E+00   9.94751E-08   2.90086E+04   3.62291E+01   0.00000E+00
   1.00073E+00   1.09179E-07   2.46255E+04   3.07503E+01   0.00000E+00
   1.00099E+00   1.20948E-07   2.08267E+04   2.60019E+01   0.00000E+00
   1.00125E+00   1.35311E-07   1.75428E+04   2.18974E+01   0.00000E+00
   1.00152E+00   1.52910E-07   1.47144E+04   1.83627E+01   0.00000E+00
   1.00179E+00   1.74548E-07   1.22893E+04   1.53328E+01   0.00000E+00
   1.00207E+00   2.01243E-07   1.02185E+04   1.27464E+01   0.00000E+00
   1.00236E+00   2.34297E-07   8.45767E+03   1.05480E+01   0.00000E+00
   1.00266E+00   2.75381E-07   6.96778E+03   8.68892E+00   0.00000E+00
   1.00296E+00   3.26660E-07   5.71281E+03   7.12421E+00   0.00000E+00
   1.00327E+00   3.90949E-07   4.65992E+03   5.81306E+00   0.00000E+00
   1.00359E+00   4.71967E-07   3.78070E+03   4.72069E+00   0.00000E+00
   1.00391E+00   5.74718E-07   3.04922E+03   3.81631E+00   0.00000E+00
   1.00425E+00   7.06293E-07   2.44105E+03   3.07209E+00   0.00000E+00
   1.00459E+00   8.77129E-07   1.93546E+03   2.46526E+00   0.00000E+00
   1.00494E+00   1.10358E-06   1.51526E+03   1.97624E+00   0.00000E+00
   1.00530E+00   1.41112E-06   1.16772E+03   1.58758E+00   0.00000E+00
   1.00567E+00   1.83809E-06   8.84795E+02   1.28385E+00   0.00000E+00
   1.00605E+00   2.43753E-06   6.60226E+02   1.04991E+00   0.00000E+00
   1.00643E+00   3.27932E-06   4.87581E+02   8.71497E-01   0.00000E+00
   1.00683E+00   4.44121E-06   3.59416E+02   7.36145E-01   0.00000E+00
   1.00724E+00   5.99792E-06   2.67049E+02   6.32885E-01   0.00000E+00
   1.00765E+00   7.99110E-06   2.02020E+02   5.52976E-01   0.00000E+00
   1.00808E+00   1.04076E-05   1.56763E+02   4.89776E-01   0.00000E+00
   1.00852E+00   1.31783E-05   1.25125E+02   4.38758E-01   0.00000E+00
   1.00897E+00   1.62370E-05   1.02416E+02   3.96773E-01   0.00000E+00
   1.00943E+00   1.95757E-05   8.54054E+01   3.61607E-01   0.00000E+00
   1.00990E+00   2.32599E-05   7.20520E+01   3.31722E-01   0.00000E+00
   1.01038E+00   2.74212E-05   6.11269E+01   3.06072E-01   0.00000E+00
   1.01087E+00   3.22389E-05   5.19230E+01   2.83927E-01   0.00000E+00
   1.01138E+00   3.79225E-05   4.40552E+01   2.64751E-01   0.00000E+00
   1.01190E+00   4.46898E-05   3.73164E+01   2.48105E-01   0.00000E+00
   1.01243E+00   5.27492E-05   3.15724E+01   2.33638E-01   0.00000E+00
   1.01298E+00   6.22948E-05   2.67178E+01   2.21031E-01   0.00000E+00
   1.01354E+00   7.34894E-05   2.26480E+01   2.09961E-01   0.00000E+00
   1.01411E+00   8.64773E-05   1.92518E+01   2.00230E-01   0.00000E+00
   1.01470E+00   1.01441E-04   1.64144E+01   1.91747E-01   0.00000E+00
   1.01530E+00   1.18647E-04   1.40327E+01   1.84416E-01   0.00000E+00
   1.01592E+00   1.38445E-04   1.20226E+01   1.78090E-01   0.00000E+00
   1.01655E+00   1.61221E-04   1.03217E+01   1.72633E-01   0.00000E+00
   1.01720E+00   1.87333E-04   8.88457E+00   1.67966E-01   0.00000E+00
   1.01787E+00   2.16982E-04   7.67941E+00   1.64031E-01   0.00000E+00
   1.01855E+00   2.49971E-04   6.68516E+00   1.60633E-01   0.00000E+00
   1.01924E+00   2.85324E-04   5.88751E+00   1.56985E-01   0.00000E+00
   1.01995E+00   3.21043E-04   5.26704E+00   1.52733E-01   0.00000E+00
   1.02067E+00   3.55064E-04   4.79245E+00   1.48608E-01   0.00000E+00
   1.02141E+00   3.86256E-04   4.42764E+00   1.45175E-01   0.00000E+00
   1.02215E+00   4.14466E-04   4.14046E+00   1.42408E-01   0.00000E+00
   1.02291E+00   4.40170E-04   3.90634E+00   1.40099E-01   0.00000E+00
   1.02368E+00   4.64082E-04   3.70821E+00   1.38039E-01   0.00000E+00
   1.02447E+00   4.86877E-04   3.53493E+00   1.36077E-01   0.00000E+00
   1.02526E+00   5.09059E-04   3.37959E+00   1.34131E-01   0.00000E+00
   1.02607E+00   5.30936E-04   3.23828E+00   1.32175E-01   0.00000E+00
   1.02690E+00   5.52653E-04   3.10863E+00   1.30210E-01   0.00000E+00
   1.02773E+00   5.74253E-04   2.98914E+00   1.28254E-01   0.00000E+00
   1.02858E+00   5.95731E-04   2.87868E+00   1.26321E-01   0.00000E+00
   1.02945E+00   6.17074E-04   2.77631E+00   1.24424E-01   0.00000E+00
