Time	Wr	Wt	Wp	Kr	Kt	Kp	E	|JxB|	|J.B|
 0.00000000E+00	 1.80955336E+00	 5.40384185E-01	 1.08317483E+00	 2.15392521E-01	 0.00000000E+00	 0.00000000E+00	 1.85834472E+00	 6.22144579E-05	 2.42955577E-05
 5.00000000E-03	 1.80973883E+00	 5.40308893E-01	 1.08304441E+00	 2.15410000E-01	 4.42179854E-06	 2.29951966E-06	 1.85734108E+00	 1.86874516E-02	 5.96328427E-04
 1.02500000E-02	 1.80991120E+00	 5.40236152E-01	 1.08292779E+00	 2.15600813E-01	 4.55640086E-05	 2.29523570E-05	 1.85570706E+00	 1.16072190E-01	 8.58968612E-03
 1.57625000E-02	 1.81006331E+00	 5.40167758E-01	 1.08283239E+00	 2.15935921E-01	 1.32448111E-04	 6.41673435E-05	 1.85351634E+00	 2.35591988E-01	 1.90097397E-02
 2.15506250E-02	 1.81018930E+00	 5.40105365E-01	 1.08276367E+00	 2.16368487E-01	 2.49297566E-04	 1.16274446E-04	 1.85085471E+00	 3.82690667E-01	 3.25589950E-02
 2.76281563E-02	 1.81028671E+00	 5.40050067E-01	 1.08272328E+00	 2.16870820E-01	 3.89735104E-04	 1.75823644E-04	 1.84778443E+00	 5.48645593E-01	 4.89079307E-02
 3.40095641E-02	 1.81035620E+00	 5.40002339E-01	 1.08270961E+00	 2.17421333E-01	 5.45545363E-04	 2.39346318E-04	 1.84437787E+00	 7.27022807E-01	 6.73667792E-02
 4.07100423E-02	 1.81040050E+00	 5.39962199E-01	 1.08271905E+00	 2.17988619E-01	 7.19016125E-04	 3.08053860E-04	 1.84068121E+00	 9.24982891E-01	 8.77141246E-02
 4.77455444E-02	 1.81042314E+00	 5.39929451E-01	 1.08274751E+00	 2.18550783E-01	 9.03594719E-04	 3.79758784E-04	 1.83666660E+00	 1.14801673E+00	 1.10140175E-01
 5.51328216E-02	 1.81042741E+00	 5.39903888E-01	 1.08279118E+00	 2.19092486E-01	 1.09044597E-03	 4.51503963E-04	 1.83239752E+00	 1.39450275E+00	 1.34274032E-01
 6.28894627E-02	 1.81041625E+00	 5.39885395E-01	 1.08284674E+00	 2.19590121E-01	 1.27970230E-03	 5.23946808E-04	 1.82788914E+00	 1.66218436E+00	 1.60776782E-01
 7.10339358E-02	 1.81039208E+00	 5.39873905E-01	 1.08291150E+00	 2.20021308E-01	 1.46720212E-03	 5.96076683E-04	 1.82316432E+00	 1.94989397E+00	 1.89522735E-01
 7.95856326E-02	 1.81035717E+00	 5.39869375E-01	 1.08298299E+00	 2.20382471E-01	 1.64247050E-03	 6.64623625E-04	 1.81821042E+00	 2.25906907E+00	 2.20860888E-01
 8.85649142E-02	 1.81031372E+00	 5.39871767E-01	 1.08305875E+00	 2.20663035E-01	 1.80144643E-03	 7.28615944E-04	 1.81313009E+00	 2.58550622E+00	 2.54409723E-01
 9.79931599E-02	 1.81026453E+00	 5.39880870E-01	 1.08313593E+00	 2.20845058E-01	 1.94425595E-03	 7.88552519E-04	 1.80787957E+00	 2.93298539E+00	 2.90416974E-01
 1.07892818E-01	 1.81021225E+00	 5.39896419E-01	 1.08321186E+00	 2.20937631E-01	 2.06151391E-03	 8.41287964E-04	 1.80248333E+00	 3.30205375E+00	 3.29025575E-01
 1.17892818E-01	 1.81016171E+00	 5.39917257E-01	 1.08328116E+00	 2.20932245E-01	 2.14820676E-03	 8.83367412E-04	 1.79720346E+00	 3.67617238E+00	 3.68654729E-01
 1.27892818E-01	 1.81011588E+00	 5.39942270E-01	 1.08334125E+00	 2.20822217E-01	 2.19927149E-03	 9.11020315E-04	 1.79215709E+00	 4.04977626E+00	 4.08528284E-01
 1.37892818E-01	 1.81007690E+00	 5.39970523E-01	 1.08339064E+00	 2.20632343E-01	 2.21824622E-03	 9.25411482E-04	 1.78738884E+00	 4.41852489E+00	 4.48017531E-01
 1.47892818E-01	 1.81004660E+00	 5.40001127E-01	 1.08342814E+00	 2.20383638E-01	 2.21148710E-03	 9.29176154E-04	 1.78290562E+00	 4.77511700E+00	 4.86620142E-01
 1.57892818E-01	 1.81002658E+00	 5.40033205E-01	 1.08345276E+00	 2.20094145E-01	 2.18410851E-03	 9.24424432E-04	 1.77867242E+00	 5.12193193E+00	 5.24420548E-01
 1.67892818E-01	 1.81001810E+00	 5.40065971E-01	 1.08346380E+00	 2.19779010E-01	 2.14043693E-03	 9.12909871E-04	 1.77467709E+00	 5.45759040E+00	 5.61302748E-01
 1.77892818E-01	 1.81002190E+00	 5.40098775E-01	 1.08346107E+00	 2.19454428E-01	 2.08439507E-03	 8.96222689E-04	 1.77088579E+00	 5.78734346E+00	 5.97544872E-01
 1.87892818E-01	 1.81003808E+00	 5.40131178E-01	 1.08344498E+00	 2.19129586E-01	 2.01945387E-03	 8.75752101E-04	 1.76733268E+00	 6.10089421E+00	 6.32719937E-01
 1.97892818E-01	 1.81006679E+00	 5.40162713E-01	 1.08341586E+00	 2.18807070E-01	 1.94848812E-03	 8.52624912E-04	 1.76397378E+00	 6.40379442E+00	 6.67026540E-01
 2.07892818E-01	 1.81010832E+00	 5.40192956E-01	 1.08337384E+00	 2.18493165E-01	 1.87376305E-03	 8.27738446E-04	 1.76080132E+00	 6.69592507E+00	 7.00610478E-01
 2.17892818E-01	 1.81016287E+00	 5.40221553E-01	 1.08331904E+00	 2.18190282E-01	 1.79710976E-03	 8.01804109E-04	 1.75780417E+00	 6.97734952E+00	 7.33276366E-01
 2.27892818E-01	 1.81023053E+00	 5.40248204E-01	 1.08325170E+00	 2.17900890E-01	 1.72004349E-03	 7.75425859E-04	 1.75496695E+00	 7.25017131E+00	 7.65063507E-01
