Time	K_par_r	K_par_t	K_par_p	K_perp_r	K_perp_t	K_perp_p	R	V	P	E_cons	dt	Flow_CFL	Wave_CFL
 0.00000000E+00	 4.00976020E-02	 1.16221343E-02	 1.11320223E-02	 1.29786606E-01	 1.16221343E-02	 1.11320223E-02	 5.74552709E-14	 0.00000000E+00	 0.00000000E+00	 5.50684962E+00	 5.00000000E-03	 3.44284550E-03	 6.53415450E+00
 5.00000000E-03	 4.01283087E-02	 1.16307836E-02	 1.11380017E-02	 1.29760539E-01	 1.16245572E-02	 1.11345307E-02	 1.63798655E-09	 0.00000000E+00	 0.00000000E+00	 5.50584994E+00	 5.25000000E-03	 3.61406022E-03	 6.86070161E+00
 1.02500000E-02	 4.03226903E-02	 1.16841813E-02	 1.11680744E-02	 1.29729488E-01	 1.16272964E-02	 1.11375990E-02	 1.73950854E-07	 0.00000000E+00	 0.00000000E+00	 5.50445153E+00	 5.51250000E-03	 5.65203704E-03	 7.20447664E+00
 1.57625000E-02	 4.06675428E-02	 1.17821645E-02	 1.12178925E-02	 1.29694476E-01	 1.16299844E-02	 1.11404757E-02	 1.01956634E-06	 0.00000000E+00	 0.00000000E+00	 5.50271233E+00	 5.78812500E-03	 8.74888402E-03	 7.56600424E+00
 2.15506250E-02	 4.11108901E-02	 1.19113245E-02	 1.12781484E-02	 1.29657374E-01	 1.16329994E-02	 1.11433225E-02	 3.16118028E-06	 0.00000000E+00	 0.00000000E+00	 5.50064712E+00	 6.07753125E-03	 1.22185430E-02	 7.94648642E+00
 2.76281563E-02	 4.16242704E-02	 1.20655513E-02	 1.13457274E-02	 1.29618417E-01	 1.16362504E-02	 1.11461620E-02	 7.23549972E-06	 0.00000000E+00	 0.00000000E+00	 5.49828092E+00	 6.38140781E-03	 1.58775450E-02	 8.34694270E+00
 3.40095641E-02	 4.21830848E-02	 1.22383533E-02	 1.14181006E-02	 1.29577813E-01	 1.16397753E-02	 1.11490982E-02	 1.40297774E-05	 0.00000000E+00	 0.00000000E+00	 5.49565236E+00	 6.70047820E-03	 1.96726691E-02	 8.76814567E+00
 4.07100423E-02	 4.27658650E-02	 1.24262363E-02	 1.14940227E-02	 1.29534481E-01	 1.16431961E-02	 1.11518873E-02	 2.45081776E-05	 0.00000000E+00	 0.00000000E+00	 5.49277890E+00	 7.03550211E-03	 2.36334138E-02	 9.21107115E+00
 4.77455444E-02	 4.33499183E-02	 1.26229659E-02	 1.15716465E-02	 1.29488491E-01	 1.16465227E-02	 1.11545918E-02	 3.93765128E-05	 0.00000000E+00	 0.00000000E+00	 5.48960131E+00	 7.38727722E-03	 2.77209978E-02	 9.67668501E+00
 5.51328216E-02	 4.39148990E-02	 1.28223490E-02	 1.16495307E-02	 1.29440357E-01	 1.16499055E-02	 1.11573954E-02	 5.98329696E-05	 0.00000000E+00	 0.00000000E+00	 5.48615527E+00	 7.75664108E-03	 3.18404267E-02	 1.01661580E+01
 6.28894627E-02	 4.44431299E-02	 1.30206909E-02	 1.17269968E-02	 1.29389586E-01	 1.16531599E-02	 1.11602069E-02	 8.68311370E-05	 0.00000000E+00	 0.00000000E+00	 5.48243269E+00	 8.14447313E-03	 3.59460485E-02	 1.06807138E+01
 7.10339358E-02	 4.49150976E-02	 1.32121018E-02	 1.18023599E-02	 1.29335852E-01	 1.16561974E-02	 1.11629776E-02	 1.21452798E-04	 0.00000000E+00	 0.00000000E+00	 5.47842864E+00	 8.55169679E-03	 4.00389846E-02	 1.12216325E+01
 7.95856326E-02	 4.53197579E-02	 1.33906601E-02	 1.18743580E-02	 1.29279672E-01	 1.16592362E-02	 1.11658806E-02	 1.64419922E-04	 0.00000000E+00	 0.00000000E+00	 5.47411299E+00	 8.97928163E-03	 4.39342581E-02	 1.17902036E+01
 8.85649142E-02	 4.56470152E-02	 1.35520813E-02	 1.19419568E-02	 1.29220875E-01	 1.16622517E-02	 1.11689175E-02	 2.17431611E-04	 0.00000000E+00	 0.00000000E+00	 5.46957262E+00	 9.42824571E-03	 4.77568416E-02	 1.23878669E+01
 9.79931599E-02	 4.58861384E-02	 1.36922479E-02	 1.20037085E-02	 1.29158774E-01	 1.16650632E-02	 1.11719349E-02	 2.81160858E-04	 0.00000000E+00	 0.00000000E+00	 5.46474630E+00	 9.89965800E-03	 5.13798064E-02	 1.30160906E+01
 1.07892818E-01	 4.60377437E-02	 1.38072173E-02	 1.20586683E-02	 1.29093830E-01	 1.16678875E-02	 1.11750861E-02	 3.56650915E-04	 0.00000000E+00	 0.00000000E+00	 5.45965499E+00	 1.00000000E-02	 5.26430947E-02	 1.31572615E+01
 1.17892818E-01	 4.60938071E-02	 1.38909510E-02	 1.21025803E-02	 1.29027942E-01	 1.16704642E-02	 1.11780744E-02	 4.41647960E-04	 0.00000000E+00	 0.00000000E+00	 5.45454209E+00	 1.00000000E-02	 5.29497610E-02	 1.31665024E+01
 1.27892818E-01	 4.60482203E-02	 1.39378041E-02	 1.21310192E-02	 1.28961965E-01	 1.16727262E-02	 1.11807735E-02	 5.33644872E-04	 0.00000000E+00	 0.00000000E+00	 5.44950857E+00	 1.00000000E-02	 5.28363842E-02	 1.31755218E+01
 1.37892818E-01	 4.59233837E-02	 1.39525347E-02	 1.21458421E-02	 1.28896153E-01	 1.16747865E-02	 1.11833000E-02	 6.30781255E-04	 0.00000000E+00	 0.00000000E+00	 5.44462829E+00	 1.00000000E-02	 5.23758979E-02	 1.31842553E+01
 1.47892818E-01	 4.57410666E-02	 1.39409350E-02	 1.21495128E-02	 1.28830408E-01	 1.16766783E-02	 1.11857005E-02	 7.31444276E-04	 0.00000000E+00	 0.00000000E+00	 5.43993799E+00	 1.00000000E-02	 5.16770152E-02	 1.31927076E+01
 1.57892818E-01	 4.55191664E-02	 1.39081610E-02	 1.21441778E-02	 1.28764715E-01	 1.16784444E-02	 1.11880135E-02	 8.34250003E-04	 0.00000000E+00	 0.00000000E+00	 5.43542767E+00	 1.00000000E-02	 5.08338509E-02	 1.32008783E+01
 1.67892818E-01	 4.52723064E-02	 1.38588384E-02	 1.21317176E-02	 1.28699096E-01	 1.16801264E-02	 1.11902721E-02	 9.38006462E-04	 0.00000000E+00	 0.00000000E+00	 5.43110620E+00	 1.00000000E-02	 4.99252601E-02	 1.32088038E+01
 1.77892818E-01	 4.50142578E-02	 1.37981540E-02	 1.21144563E-02	 1.28633802E-01	 1.16818156E-02	 1.11925606E-02	 1.04158655E-03	 0.00000000E+00	 0.00000000E+00	 5.42696136E+00	 1.00000000E-02	 4.88889065E-02	 1.32164844E+01
 1.87892818E-01	 4.47539137E-02	 1.37297124E-02	 1.20938627E-02	 1.28568862E-01	 1.16835388E-02	 1.11949018E-02	 1.14426045E-03	 0.00000000E+00	 0.00000000E+00	 5.42304142E+00	 1.00000000E-02	 4.77795667E-02	 1.32240201E+01
 1.97892818E-01	 4.44956407E-02	 1.36554144E-02	 1.20704969E-02	 1.28504108E-01	 1.16852650E-02	 1.11972578E-02	 1.24530959E-03	 0.00000000E+00	 0.00000000E+00	 5.41930899E+00	 1.00000000E-02	 4.66146332E-02	 1.32314210E+01
 2.07892818E-01	 4.42447482E-02	 1.35780137E-02	 1.20455527E-02	 1.28439655E-01	 1.16870336E-02	 1.11996637E-02	 1.34418285E-03	 0.00000000E+00	 0.00000000E+00	 5.41576571E+00	 1.00000000E-02	 4.54172592E-02	 1.32387418E+01
 2.17892818E-01	 4.40040074E-02	 1.34991368E-02	 1.20196187E-02	 1.28375473E-01	 1.16888429E-02	 1.12021173E-02	 1.44042738E-03	 0.00000000E+00	 0.00000000E+00	 5.41240536E+00	 1.00000000E-02	 4.42221562E-02	 1.32460301E+01
 2.27892818E-01	 4.37755352E-02	 1.34204259E-02	 1.19934150E-02	 1.28311631E-01	 1.16907149E-02	 1.12046378E-02	 1.53365780E-03	 0.00000000E+00	 0.00000000E+00	 5.40921716E+00	 1.00000000E-02	 4.30022014E-02	 1.32533303E+01
 2.37892818E-01	 4.35604874E-02	 1.33431353E-02	 1.19675105E-02	 1.28248182E-01	 1.16926666E-02	 1.12072406E-02	 1.62364844E-03	 0.00000000E+00	 0.00000000E+00	 5.40620793E+00	 1.00000000E-02	 4.17798936E-02	 1.32607253E+01
 2.47892818E-01	 4.33591069E-02	 1.32677923E-02	 1.19420387E-02	 1.28185060E-01	 1.16946826E-02	 1.12099116E-02	 1.71022658E-03	 0.00000000E+00	 0.00000000E+00	 5.40336956E+00	 1.00000000E-02	 4.05967896E-02	 1.32682884E+01
 2.57892818E-01	 4.31714105E-02	 1.31950356E-02	 1.19172875E-02	 1.28122291E-01	 1.16967695E-02	 1.12126580E-02	 1.79326534E-03	 0.00000000E+00	 0.00000000E+00	 5.40068879E+00	 1.00000000E-02	 3.94175770E-02	 1.32760706E+01
 2.67892818E-01	 4.29971696E-02	 1.31252874E-02	 1.18934469E-02	 1.28059892E-01	 1.16989311E-02	 1.12154855E-02	 1.87269797E-03	 0.00000000E+00	 0.00000000E+00	 5.39816456E+00	 1.00000000E-02	 3.82901990E-02	 1.32841212E+01
 2.77892818E-01	 4.28359504E-02	 1.30587586E-02	 1.18705886E-02	 1.27997851E-01	 1.17011638E-02	 1.12183931E-02	 1.94851955E-03	 0.00000000E+00	 0.00000000E+00	 5.39578590E+00	 1.00000000E-02	 3.71972245E-02	 1.32924927E+01
 2.87892818E-01	 4.26870084E-02	 1.29957495E-02	 1.18489235E-02	 1.27936223E-01	 1.17034816E-02	 1.12213920E-02	 2.02073387E-03	 0.00000000E+00	 0.00000000E+00	 5.39354907E+00	 1.00000000E-02	 3.61199143E-02	 1.33013010E+01
 2.97892818E-01	 4.25495655E-02	 1.29362645E-02	 1.18284706E-02	 1.27875013E-01	 1.17058846E-02	 1.12244852E-02	 2.08935582E-03	 0.00000000E+00	 0.00000000E+00	 5.39145319E+00	 1.00000000E-02	 3.50959800E-02	 1.33106464E+01
 3.07892818E-01	 4.24229341E-02	 1.28803055E-02	 1.18092510E-02	 1.27814218E-01	 1.17083699E-02	 1.12276701E-02	 2.15455836E-03	 0.00000000E+00	 0.00000000E+00	 5.38949104E+00	 1.00000000E-02	 3.41837931E-02	 1.33205481E+01
 3.17892818E-01	 4.23045961E-02	 1.28280943E-02	 1.17916919E-02	 1.27754040E-01	 1.17109882E-02	 1.12309754E-02	 2.21622367E-03	 0.00000000E+00	 0.00000000E+00	 5.38765829E+00	 1.00000000E-02	 3.33435943E-02	 1.33310024E+01
 3.27892818E-01	 4.21929686E-02	 1.27789524E-02	 1.17754718E-02	 1.27694524E-01	 1.17137421E-02	 1.12344192E-02	 2.27440858E-03	 0.00000000E+00	 0.00000000E+00	 5.38597055E+00	 1.00000000E-02	 3.25336101E-02	 1.33418945E+01
 3.37892818E-01	 4.20887179E-02	 1.27323039E-02	 1.17601046E-02	 1.27635446E-01	 1.17165730E-02	 1.12379648E-02	 2.33012615E-03	 0.00000000E+00	 0.00000000E+00	 5.38440567E+00	 1.00000000E-02	 3.17296705E-02	 1.33534511E+01
