Time	Wr	Wt	Wp	Kr	Kt	Kp	E	|JxB|	|J.B|
 0.00000000E+00	 3.76998438E+00	 0.00000000E+00	 5.49960062E-07	 0.00000000E+00	 0.00000000E+00	 1.50971538E-09	 0.00000000E+00	 1.00104298E-02	 2.05840805E-03
 2.50000000E-02	 3.76998438E+00	 0.00000000E+00	 5.43948114E-07	 1.63109772E-16	 8.46314800E-18	 5.99496616E-09	 0.00000000E+00	 9.95560575E-03	 2.04712719E-03
 5.00000000E-02	 3.76998438E+00	 2.26230164E-18	 5.26364292E-07	 1.43698266E-15	 7.03137570E-17	 2.36986081E-08	 0.00000000E+00	 9.80560857E-03	 2.01352541E-03
 7.50000000E-02	 3.76998438E+00	 1.40527078E-17	 4.98035721E-07	 3.84282566E-15	 1.71929989E-16	 5.23494538E-08	 0.00000000E+00	 9.54671006E-03	 1.95801482E-03
 1.00000000E-01	 3.76998438E+00	 4.29156025E-17	 4.60193440E-07	 7.15161675E-15	 2.86281230E-16	 9.07180104E-08	 0.00000000E+00	 9.18127985E-03	 1.88121662E-03
 1.25000000E-01	 3.76998438E+00	 9.21516502E-17	 4.14415895E-07	 1.10751935E-14	 3.88507281E-16	 1.37158926E-07	 0.00000000E+00	 8.71595032E-03	 1.78394849E-03
 1.50000000E-01	 3.76998438E+00	 1.59974112E-16	 3.62671224E-07	 1.52962773E-14	 4.60582587E-16	 1.89681563E-07	 0.00000000E+00	 8.15583781E-03	 1.66728177E-03
 1.75000000E-01	 3.76998438E+00	 2.39964626E-16	 3.07186626E-07	 1.95032752E-14	 4.94023223E-16	 2.46035278E-07	 0.00000000E+00	 7.50616776E-03	 1.53250356E-03
 2.00000000E-01	 3.76998438E+00	 3.21067857E-16	 2.50328703E-07	 2.34216803E-14	 4.90232132E-16	 3.03805804E-07	 0.00000000E+00	 6.77433906E-03	 1.38108585E-03
 2.25000000E-01	 3.76998438E+00	 3.90898311E-16	 1.94533500E-07	 2.68395186E-14	 4.58655505E-16	 3.60518630E-07	 0.00000000E+00	 5.96902189E-03	 1.21469085E-03
 2.50000000E-01	 3.76998438E+00	 4.38826497E-16	 1.42192776E-07	 2.96250447E-14	 4.13334785E-16	 4.13744946E-07	 0.00000000E+00	 5.09803369E-03	 1.03514656E-03
 2.75000000E-01	 3.76998438E+00	 4.58054136E-16	 9.55436650E-08	 3.17333794E-14	 3.68783900E-16	 4.61205613E-07	 0.00000000E+00	 4.17147271E-03	 8.44419393E-04
 3.00000000E-01	 3.76998438E+00	 4.47933832E-16	 5.65831106E-08	 3.32026090E-14	 3.36210646E-16	 5.00868721E-07	 0.00000000E+00	 3.19970444E-03	 6.44602582E-04
 3.25000000E-01	 3.76998438E+00	 4.14321641E-16	 2.69788887E-08	 3.41412571E-14	 3.20949346E-16	 5.31036560E-07	 0.00000000E+00	 2.19260231E-03	 4.37996880E-04
 3.50000000E-01	 3.76998438E+00	 3.68143444E-16	 7.99622169E-09	 3.47094954E-14	 3.21656003E-16	 5.50418254E-07	 0.00000000E+00	 1.16200256E-03	 2.28482073E-04
 3.75000000E-01	 3.76998438E+00	 3.23115947E-16	 4.46595748E-10	 3.50981461E-14	 3.31364491E-16	 5.58184980E-07	 0.00000000E+00	 1.20755802E-04	 1.90625751E-05
 4.00000000E-01	 3.76998438E+00	 2.92452067E-16	 4.65178068E-09	 3.55093847E-14	 3.40048787E-16	 5.54005400E-07	 0.00000000E+00	 9.25990284E-04	 2.00852194E-04
 4.25000000E-01	 3.76998438E+00	 2.85597259E-16	 2.04301602E-08	 3.61421671E-14	 3.37970053E-16	 5.38059790E-07	 0.00000000E+00	 1.96011464E-03	 4.12415139E-04
 4.50000000E-01	 3.76998438E+00	 3.05908708E-16	 4.71048526E-08	 3.71843276E-14	 3.18911113E-16	 5.11032271E-07	 0.00000000E+00	 2.97290756E-03	 6.19695144E-04
 4.75000000E-01	 3.76998438E+00	 3.49716143E-16	 8.35323737E-08	 3.88115575E-14	 2.82433702E-16	 4.74081467E-07	 0.00000000E+00	 3.95290762E-03	 8.20496950E-04
 5.00000000E-01	 3.76998438E+00	 4.07191459E-16	 1.28152154E-07	 4.11918728E-14	 2.34541883E-16	 4.28790856E-07	 0.00000000E+00	 4.88954321E-03	 1.01253015E-03
 5.25000000E-01	 3.76998438E+00	 4.64831617E-16	 1.79052910E-07	 4.44928958E-14	 1.86540850E-16	 3.77100936E-07	 0.00000000E+00	 5.77265799E-03	 1.19361705E-03
 5.50000000E-01	 3.76998438E+00	 5.09050346E-16	 2.34054493E-07	 4.88885871E-14	 1.52338296E-16	 3.21226111E-07	 0.00000000E+00	 6.59229075E-03	 1.36183536E-03
 5.75000000E-01	 3.76998438E+00	 5.30052532E-16	 2.90801689E-07	 5.45622117E-14	 1.44845923E-16	 2.63559856E-07	 0.00000000E+00	 7.33983718E-03	 1.51538837E-03
 6.00000000E-01	 3.76998438E+00	 5.24971378E-16	 3.46864524E-07	 6.17030173E-14	 1.72391922E-16	 2.06572223E-07	 0.00000000E+00	 8.00679881E-03	 1.65254951E-03
 6.25000000E-01	 3.76998438E+00	 4.99490711E-16	 3.99842408E-07	 7.04953930E-14	 2.36090875E-16	 1.52704073E-07	 0.00000000E+00	 8.58597017E-03	 1.77181398E-03
 6.50000000E-01	 3.76998438E+00	 4.67362167E-16	 4.47467175E-07	 8.11008971E-14	 3.28912501E-16	 1.04262558E-07	 0.00000000E+00	 9.07111601E-03	 1.87191791E-03
 6.75000000E-01	 3.76998438E+00	 4.47759506E-16	 4.87699799E-07	 9.36350158E-14	 4.36797901E-16	 6.33223406E-08	 0.00000000E+00	 9.45665249E-03	 1.95175359E-03
