Time	K_par_r	K_par_t	K_par_p	K_perp_r	K_perp_t	K_perp_p	R	V	P	E_cons	dt	Flow_CFL	Wave_CFL
 0.00000000E+00	 1.71326717E-16	 0.00000000E+00	 5.14210359E-23	 1.71326717E-16	 0.00000000E+00	 1.50971504E-09	 2.02338386E-35	 0.00000000E+00	 0.00000000E+00	 3.76998493E+00	 2.50000000E-02	 0.00000000E+00	 4.31997725E+00
 2.50000000E-02	 1.73481618E-16	 0.00000000E+00	 5.16384519E-23	 6.73016834E-16	 8.46314800E-18	 5.99496548E-09	 2.00126522E-35	 0.00000000E+00	 0.00000000E+00	 3.76998493E+00	 2.50000000E-02	 4.55270003E-08	 4.31997725E+00
 5.00000000E-02	 1.65023177E-16	 4.21086224E-35	 4.79294092E-23	 2.57542648E-15	 7.03137570E-17	 2.36986068E-08	 1.93689316E-35	 0.00000000E+00	 0.00000000E+00	 3.76998493E+00	 2.50000000E-02	 8.94254254E-08	 4.31997723E+00
 7.50000000E-02	 1.31274278E-16	 3.91331953E-34	 3.70484914E-23	 5.38765648E-15	 1.71929989E-16	 5.23494521E-08	 1.83291341E-35	 0.00000000E+00	 0.00000000E+00	 3.76998493E+00	 2.50000000E-02	 1.30669972E-07	 4.31997721E+00
 1.00000000E-01	 7.32849808E-17	 1.15545427E-33	 2.02953441E-23	 8.63913794E-15	 2.86281229E-16	 9.07180088E-08	 1.69379625E-35	 0.00000000E+00	 0.00000000E+00	 3.76998493E+00	 2.50000000E-02	 1.68350279E-07	 4.31997719E+00
 1.25000000E-01	 1.86548230E-17	 1.45983379E-33	 5.41477432E-24	 1.17861598E-14	 3.88507281E-16	 1.37158925E-07	 1.52546299E-35	 0.00000000E+00	 0.00000000E+00	 3.76998493E+00	 2.50000000E-02	 2.01706850E-07	 4.31997715E+00
 1.50000000E-01	 3.49396556E-17	 2.42430085E-33	 5.45464764E-24	 1.43025931E-14	 4.60582588E-16	 1.89681564E-07	 1.33514994E-35	 0.00000000E+00	 0.00000000E+00	 3.76998493E+00	 2.50000000E-02	 2.30174955E-07	 4.31997712E+00
 1.75000000E-01	 2.37457037E-16	 1.46283318E-32	 3.28510240E-23	 1.57677316E-14	 4.94023226E-16	 2.46035281E-07	 1.13101475E-35	 0.00000000E+00	 0.00000000E+00	 3.76998493E+00	 2.50000000E-02	 2.53969013E-07	 4.31997708E+00
 2.00000000E-01	 7.93188087E-16	 6.80490449E-32	 9.35862329E-23	 1.59366621E-14	 4.90232139E-16	 3.03805811E-07	 9.21795844E-36	 0.00000000E+00	 0.00000000E+00	 3.76998493E+00	 2.50000000E-02	 2.74423604E-07	 4.31997704E+00
 2.25000000E-01	 1.91519770E-15	 2.13740921E-31	 1.80954450E-22	 1.47813695E-14	 4.58655517E-16	 3.60518640E-07	 7.16461444E-36	 0.00000000E+00	 0.00000000E+00	 3.76998493E+00	 2.50000000E-02	 2.90808239E-07	 4.31997700E+00
