Time	Wr	Wt	Wp	Kr	Kt	Kp	E	|JxB|	|J.B|
 0.00000000E+00	 3.76998440E+00	 7.67982263E-08	 0.00000000E+00	 0.00000000E+00	 3.36105841E-10	 0.00000000E+00	 0.00000000E+00	 4.39596469E-03	 0.00000000E+00
 2.50000000E-02	 3.76998440E+00	 7.57390595E-08	 0.00000000E+00	 5.54005420E-17	 1.33039911E-09	 0.00000000E+00	 0.00000000E+00	 4.36555639E-03	 0.00000000E+00
 5.00000000E-02	 3.76998440E+00	 7.26590336E-08	 0.00000000E+00	 4.91472113E-16	 5.23950379E-09	 0.00000000E+00	 0.00000000E+00	 4.28114963E-03	 0.00000000E+00
 7.50000000E-02	 3.76998440E+00	 6.77382777E-08	 0.00000000E+00	 1.32972658E-15	 1.15151178E-08	 0.00000000E+00	 0.00000000E+00	 4.13691684E-03	 0.00000000E+00
 1.00000000E-01	 3.76998439E+00	 6.12452969E-08	 0.00000000E+00	 2.51201732E-15	 1.98172618E-08	 0.00000000E+00	 0.00000000E+00	 3.93458191E-03	 0.00000000E+00
 1.25000000E-01	 3.76998439E+00	 5.35218813E-08	 0.00000000E+00	 3.96091474E-15	 2.96964527E-08	 0.00000000E+00	 0.00000000E+00	 3.67824050E-03	 0.00000000E+00
 1.50000000E-01	 3.76998439E+00	 4.49854836E-08	 0.00000000E+00	 5.58515529E-15	 4.06180477E-08	 0.00000000E+00	 0.00000000E+00	 3.37145898E-03	 0.00000000E+00
 1.75000000E-01	 3.76998439E+00	 3.60978918E-08	 0.00000000E+00	 7.28587809E-15	 5.19911689E-08	 0.00000000E+00	 0.00000000E+00	 3.01811769E-03	 0.00000000E+00
 2.00000000E-01	 3.76998438E+00	 2.73358910E-08	 0.00000000E+00	 8.96295320E-15	 6.32006492E-08	 0.00000000E+00	 0.00000000E+00	 2.62321092E-03	 0.00000000E+00
 2.25000000E-01	 3.76998438E+00	 1.91713134E-08	 0.00000000E+00	 1.05210110E-14	 7.36402936E-08	 0.00000000E+00	 0.00000000E+00	 2.19239907E-03	 0.00000000E+00
 2.50000000E-01	 3.76998438E+00	 1.20438242E-08	 0.00000000E+00	 1.18748404E-14	 8.27456500E-08	 0.00000000E+00	 0.00000000E+00	 1.73118584E-03	 0.00000000E+00
 2.75000000E-01	 3.76998438E+00	 6.33587866E-09	 0.00000000E+00	 1.29537900E-14	 9.00245097E-08	 0.00000000E+00	 0.00000000E+00	 1.24617440E-03	 0.00000000E+00
 3.00000000E-01	 3.76998438E+00	 2.35385645E-09	 0.00000000E+00	 1.37050318E-14	 9.50834990E-08	 0.00000000E+00	 0.00000000E+00	 7.44199066E-04	 0.00000000E+00
 3.25000000E-01	 3.76998438E+00	 3.10961674E-10	 0.00000000E+00	 1.40956736E-14	 9.76493330E-08	 0.00000000E+00	 0.00000000E+00	 2.32043020E-04	 0.00000000E+00
 3.50000000E-01	 3.76998438E+00	 3.15508515E-10	 0.00000000E+00	 1.41138076E-14	 9.75835766E-08	 0.00000000E+00	 0.00000000E+00	 2.87019873E-04	 0.00000000E+00
 3.75000000E-01	 3.76998438E+00	 2.36546914E-09	 0.00000000E+00	 1.37686641E-14	 9.48901069E-08	 0.00000000E+00	 0.00000000E+00	 7.95637002E-04	 0.00000000E+00
 4.00000000E-01	 3.76998438E+00	 6.34840599E-09	 0.00000000E+00	 1.30900143E-14	 8.97148834E-08	 0.00000000E+00	 0.00000000E+00	 1.29628387E-03	 0.00000000E+00
 4.25000000E-01	 3.76998438E+00	 1.20476854E-08	 0.00000000E+00	 1.21268825E-14	 8.23380422E-08	 0.00000000E+00	 0.00000000E+00	 1.77897990E-03	 0.00000000E+00
 4.50000000E-01	 3.76998438E+00	 1.91541219E-08	 0.00000000E+00	 1.09455386E-14	 7.31587357E-08	 0.00000000E+00	 0.00000000E+00	 2.23727651E-03	 0.00000000E+00
 4.75000000E-01	 3.76998439E+00	 2.72826351E-08	 0.00000000E+00	 9.62669523E-15	 6.26735386E-08	 0.00000000E+00	 0.00000000E+00	 2.66470438E-03	 0.00000000E+00
 5.00000000E-01	 3.76998439E+00	 3.59932013E-08	 0.00000000E+00	 8.26182657E-15	 5.14495908E-08	 0.00000000E+00	 0.00000000E+00	 3.05541030E-03	 0.00000000E+00
 5.25000000E-01	 3.76998439E+00	 4.48144799E-08	 0.00000000E+00	 6.94860859E-15	 4.00939264E-08	 0.00000000E+00	 0.00000000E+00	 3.40405024E-03	 0.00000000E+00
 5.50000000E-01	 3.76998439E+00	 5.32692804E-08	 0.00000000E+00	 5.78558099E-15	 2.92206468E-08	 0.00000000E+00	 0.00000000E+00	 3.70569119E-03	 0.00000000E+00
 5.75000000E-01	 3.76998439E+00	 6.09003893E-08	 0.00000000E+00	 4.86626887E-15	 1.94177169E-08	 0.00000000E+00	 0.00000000E+00	 3.95632189E-03	 0.00000000E+00
 6.00000000E-01	 3.76998440E+00	 6.72951643E-08	 0.00000000E+00	 4.27312882E-15	 1.12151750E-08	 0.00000000E+00	 0.00000000E+00	 4.15237620E-03	 0.00000000E+00
 6.25000000E-01	 3.76998440E+00	 7.21078731E-08	 0.00000000E+00	 4.07178694E-15	 5.05647915E-09	 0.00000000E+00	 0.00000000E+00	 4.29118986E-03	 0.00000000E+00
 6.50000000E-01	 3.76998440E+00	 7.50783486E-08	 0.00000000E+00	 4.30608857E-15	 1.27453514E-09	 0.00000000E+00	 0.00000000E+00	 4.37094679E-03	 0.00000000E+00
 6.75000000E-01	 3.76998440E+00	 7.60459865E-08	 0.00000000E+00	 4.99446095E-15	 7.37037876E-11	 0.00000000E+00	 0.00000000E+00	 4.39051019E-03	 0.00000000E+00
 7.00000000E-01	 3.76998440E+00	 7.49584764E-08	 0.00000000E+00	 6.12801337E-15	 1.51875748E-09	 0.00000000E+00	 0.00000000E+00	 4.35029967E-03	 0.00000000E+00
 7.25000000E-01	 3.76998440E+00	 7.18746052E-08	 0.00000000E+00	 7.67063298E-15	 5.53138192E-09	 0.00000000E+00	 0.00000000E+00	 4.25240887E-03	 0.00000000E+00
 7.50000000E-01	 3.76998440E+00	 6.69610735E-08	 0.00000000E+00	 9.56106681E-15	 1.18944136E-08	 0.00000000E+00	 0.00000000E+00	 4.10005344E-03	 0.00000000E+00
 7.75000000E-01	 3.76998439E+00	 6.04835405E-08	 0.00000000E+00	 1.17168942E-14	 2.02635859E-08	 0.00000000E+00	 0.00000000E+00	 3.89815357E-03	 0.00000000E+00
 8.00000000E-01	 3.76998439E+00	 5.27922419E-08	 0.00000000E+00	 1.40400537E-14	 3.01861464E-08	 0.00000000E+00	 0.00000000E+00	 3.64603755E-03	 0.00000000E+00
 8.25000000E-01	 3.76998439E+00	 4.43030605E-08	 0.00000000E+00	 1.64234074E-14	 4.11253416E-08	 0.00000000E+00	 0.00000000E+00	 3.34164072E-03	 0.00000000E+00
 8.50000000E-01	 3.76998439E+00	 3.54750931E-08	 0.00000000E+00	 1.87577618E-14	 5.24894446E-08	 0.00000000E+00	 0.00000000E+00	 2.98682446E-03	 0.00000000E+00
 8.75000000E-01	 3.76998438E+00	 2.67858165E-08	 0.00000000E+00	 2.09387506E-14	 6.36637591E-08	 0.00000000E+00	 0.00000000E+00	 2.58802316E-03	 0.00000000E+00
 9.00000000E-01	 3.76998438E+00	 1.87052755E-08	 0.00000000E+00	 2.28730446E-14	 7.40438629E-08	 0.00000000E+00	 0.00000000E+00	 2.15822771E-03	 0.00000000E+00
 9.25000000E-01	 3.76998438E+00	 1.16706941E-08	 0.00000000E+00	 2.44834787E-14	 8.30682913E-08	 0.00000000E+00	 0.00000000E+00	 1.69995720E-03	 0.00000000E+00
 9.50000000E-01	 3.76998438E+00	 6.06282412E-09	 0.00000000E+00	 2.57128478E-14	 9.02488984E-08	 0.00000000E+00	 0.00000000E+00	 1.21554030E-03	 0.00000000E+00
 9.75000000E-01	 3.76998438E+00	 2.18534654E-09	 0.00000000E+00	 2.65262893E-14	 9.51972562E-08	 0.00000000E+00	 0.00000000E+00	 7.13231390E-04	 0.00000000E+00
 1.00000000E+00	 3.76998438E+00	 2.48442380E-10	 0.00000000E+00	 2.69123152E-14	 9.76456589E-08	 0.00000000E+00	 0.00000000E+00	 2.04311609E-04	 0.00000000E+00
 1.02500000E+00	 3.76998438E+00	 3.57402008E-10	 0.00000000E+00	 2.68826499E-14	 9.74615995E-08	 0.00000000E+00	 0.00000000E+00	 3.14988469E-04	 0.00000000E+00
 1.05000000E+00	 3.76998438E+00	 2.50690270E-09	 0.00000000E+00	 2.64710696E-14	 9.46549381E-08	 0.00000000E+00	 0.00000000E+00	 8.22819238E-04	 0.00000000E+00
