Time	K_par_r	K_par_t	K_par_p	K_perp_r	K_perp_t	K_perp_p	R	V	P	E_cons	dt	Flow_CFL	Wave_CFL
 0.00000000E+00	 7.25781031E-18	 4.77009521E-25	 0.00000000E+00	 7.25781031E-18	 3.36105826E-10	 0.00000000E+00	 4.31081193E-36	 0.00000000E+00	 0.00000000E+00	 3.76998447E+00	 2.50000000E-02	 1.09249692E-05	 4.31997691E+00
 2.50000000E-02	 5.58237044E-17	 7.48833236E-25	 0.00000000E+00	 2.83337657E-17	 1.33039908E-09	 0.00000000E+00	 4.25136189E-36	 0.00000000E+00	 0.00000000E+00	 3.76998447E+00	 2.50000000E-02	 3.25537501E-05	 4.31997691E+00
 5.00000000E-02	 4.37962611E-16	 2.76104913E-24	 0.00000000E+00	 1.07079694E-16	 5.23950373E-09	 0.00000000E+00	 4.07893453E-36	 0.00000000E+00	 0.00000000E+00	 3.76998447E+00	 2.50000000E-02	 5.37314456E-05	 4.31997691E+00
 7.50000000E-02	 1.17517140E-15	 6.20723454E-24	 0.00000000E+00	 2.19592330E-16	 1.15151177E-08	 0.00000000E+00	 3.80257982E-36	 0.00000000E+00	 0.00000000E+00	 3.76998447E+00	 2.50000000E-02	 7.41645792E-05	 4.31997690E+00
 1.00000000E-01	 2.22146040E-15	 1.02464856E-23	 0.00000000E+00	 3.42180608E-16	 1.98172618E-08	 0.00000000E+00	 3.43727763E-36	 0.00000000E+00	 0.00000000E+00	 3.76998447E+00	 2.50000000E-02	 9.35706996E-05	 4.31997690E+00
 1.25000000E-01	 3.51579218E-15	 1.39970058E-23	 0.00000000E+00	 4.49059228E-16	 2.96964527E-08	 0.00000000E+00	 3.00269881E-36	 0.00000000E+00	 0.00000000E+00	 3.76998447E+00	 2.50000000E-02	 1.11682337E-04	 4.31997690E+00
 1.50000000E-01	 4.98635134E-15	 1.67183589E-23	 0.00000000E+00	 5.17770284E-16	 4.06180478E-08	 0.00000000E+00	 2.52240242E-36	 0.00000000E+00	 0.00000000E+00	 3.76998447E+00	 2.50000000E-02	 1.28250519E-04	 4.31997689E+00
 1.75000000E-01	 6.55503781E-15	 1.79130495E-23	 0.00000000E+00	 5.33901208E-16	 5.19911691E-08	 0.00000000E+00	 2.02235138E-36	 0.00000000E+00	 0.00000000E+00	 3.76998447E+00	 2.50000000E-02	 1.43047870E-04	 4.31997689E+00
 2.00000000E-01	 8.14201615E-15	 1.73756453E-23	 0.00000000E+00	 4.94109888E-16	 6.32006496E-08	 0.00000000E+00	 1.52956311E-36	 0.00000000E+00	 0.00000000E+00	 3.76998448E+00	 2.50000000E-02	 1.55871382E-04	 4.31997688E+00
 2.25000000E-01	 9.66986514E-15	 1.51811007E-23	 0.00000000E+00	 4.06820923E-16	 7.36402941E-08	 0.00000000E+00	 1.07068849E-36	 0.00000000E+00	 0.00000000E+00	 3.76998448E+00	 2.50000000E-02	 1.66544948E-04	 4.31997688E+00
 2.50000000E-01	 1.10671377E-14	 1.16581411E-23	 0.00000000E+00	 2.90444196E-16	 8.27456505E-08	 0.00000000E+00	 6.70534144E-37	 0.00000000E+00	 0.00000000E+00	 3.76998448E+00	 2.50000000E-02	 1.74921695E-04	 4.31997688E+00
 2.75000000E-01	 1.22713209E-14	 7.39332084E-24	 0.00000000E+00	 1.69491505E-16	 9.00245102E-08	 0.00000000E+00	 3.50726265E-37	 0.00000000E+00	 0.00000000E+00	 3.76998448E+00	 2.50000000E-02	 1.80886095E-04	 4.31997687E+00
 3.00000000E-01	 1.32311094E-14	 3.26845164E-24	 0.00000000E+00	 6.94078102E-17	 9.50834994E-08	 0.00000000E+00	 1.28546938E-37	 0.00000000E+00	 0.00000000E+00	 3.76998448E+00	 2.50000000E-02	 1.84355758E-04	 4.31997687E+00
 3.25000000E-01	 1.39080519E-14	 5.02521599E-25	 0.00000000E+00	 1.12048914E-17	 9.76493332E-08	 0.00000000E+00	 1.59918062E-38	 0.00000000E+00	 0.00000000E+00	 3.76998448E+00	 2.50000000E-02	 1.85282796E-04	 4.31997687E+00
 3.50000000E-01	 1.42777092E-14	 6.32512597E-25	 0.00000000E+00	 7.02867654E-18	 9.75835764E-08	 0.00000000E+00	 1.91274146E-38	 0.00000000E+00	 0.00000000E+00	 3.76998448E+00	 2.50000000E-02	 1.83654638E-04	 4.31997687E+00
 3.75000000E-01	 1.43304204E-14	 5.36701023E-24	 0.00000000E+00	 5.75956197E-17	 9.48901063E-08	 0.00000000E+00	 1.37764645E-37	 0.00000000E+00	 0.00000000E+00	 3.76998448E+00	 2.50000000E-02	 1.79494240E-04	 4.31997687E+00
