Time	Wr	Wt	Wp	Kr	Kt	Kp	E	|JxB|	|J.B|
 0.00000000E+00	 3.76902646E+00	 3.38716333E-07	 1.90433851E-07	 0.00000000E+00	 3.85603160E-09	 2.16680525E-09	 0.00000000E+00	 9.92938528E-03	 2.03443297E-03
 5.00000000E-02	 3.76902646E+00	 3.24010806E-07	 1.82167420E-07	 4.73761220E-16	 1.48848069E-08	 8.35940320E-09	 0.00000000E+00	 9.71283432E-03	 1.98991807E-03
 1.00000000E-01	 3.76902646E+00	 2.84336555E-07	 1.59874635E-07	 3.96096696E-15	 5.66620429E-08	 3.18139923E-08	 0.00000000E+00	 9.13018450E-03	 1.86095312E-03
 1.50000000E-01	 3.76902646E+00	 2.25926973E-07	 1.27053332E-07	 9.65387169E-15	 1.18501431E-07	 6.65350551E-08	 0.00000000E+00	 8.17132881E-03	 1.65285355E-03
 2.00000000E-01	 3.76902646E+00	 1.58641200E-07	 8.92381348E-08	 1.58778259E-14	 1.90409655E-07	 1.06920173E-07	 0.00000000E+00	 6.87680099E-03	 1.37504935E-03
 2.50000000E-01	 3.76902646E+00	 9.35687869E-08	 5.26569299E-08	 2.12092107E-14	 2.60893724E-07	 1.46523590E-07	 0.00000000E+00	 5.28920657E-03	 1.03995210E-03
 3.00000000E-01	 3.76902646E+00	 4.11418851E-08	 2.31719252E-08	 2.48866302E-14	 3.18774396E-07	 1.79071477E-07	 0.00000000E+00	 3.46721512E-03	 6.62263847E-04
 3.50000000E-01	 3.76902646E+00	 9.51797538E-09	 5.37112906E-09	 2.69165829E-14	 3.54932931E-07	 1.99440629E-07	 0.00000000E+00	 1.49500891E-03	 2.58946700E-04
 4.00000000E-01	 3.76902646E+00	 3.43123577E-09	 1.92200281E-09	 2.79142630E-14	 3.63744353E-07	 2.04462967E-07	 0.00000000E+00	 1.05305967E-03	 1.96817485E-04
 4.50000000E-01	 3.76902646E+00	 2.35904875E-08	 1.32316725E-08	 2.88193358E-14	 3.43944759E-07	 1.93414548E-07	 0.00000000E+00	 2.56992130E-03	 5.62007990E-04
 5.00000000E-01	 3.76902646E+00	 6.66426288E-08	 3.74246727E-08	 3.06554276E-14	 2.98792297E-07	 1.68109489E-07	 0.00000000E+00	 4.45652924E-03	 9.44465054E-04
 5.50000000E-01	 3.76902646E+00	 1.25696521E-07	 7.06354338E-08	 3.44370137E-14	 2.35524764E-07	 1.32599253E-07	 0.00000000E+00	 6.15765528E-03	 1.28792304E-03
 6.00000000E-01	 3.76902646E+00	 1.91372729E-07	 1.07596050E-07	 4.11866664E-14	 1.64209250E-07	 9.25300694E-08	 0.00000000E+00	 7.59073598E-03	 1.57859204E-03
 6.50000000E-01	 3.76902646E+00	 2.53265605E-07	 1.42456148E-07	 5.19105351E-14	 9.61531077E-08	 5.42528683E-08	 0.00000000E+00	 8.69753509E-03	 1.80462911E-03
 7.00000000E-01	 3.76902646E+00	 3.01599243E-07	 1.69712810E-07	 6.74030736E-14	 4.21219829E-08	 2.38232495E-08	 0.00000000E+00	 9.44118830E-03	 1.95660382E-03
 7.50000000E-01	 3.76902646E+00	 3.28788550E-07	 1.85088907E-07	 8.79082609E-14	 1.06487209E-08	 6.05084411E-09	 0.00000000E+00	 9.79746806E-03	 2.02799939E-03
 8.00000000E-01	 3.76902646E+00	 3.30625688E-07	 1.86202688E-07	 1.12811487E-13	 6.69639465E-09	 3.74595553E-09	 0.00000000E+00	 9.76294172E-03	 2.01565973E-03
 8.50000000E-01	 3.76902646E+00	 3.06903819E-07	 1.72922002E-07	 1.40544274E-13	 3.08800286E-08	 1.72783827E-08	 0.00000000E+00	 9.35275623E-03	 1.92010708E-03
 9.00000000E-01	 3.76902646E+00	 2.61406942E-07	 1.47362197E-07	 1.68773293E-13	 7.93697968E-08	 4.45178470E-08	 0.00000000E+00	 8.58961865E-03	 1.74565713E-03
 9.50000000E-01	 3.76902646E+00	 2.01295985E-07	 1.13543970E-07	 1.94838141E-13	 1.44493476E-07	 8.11671781E-08	 0.00000000E+00	 7.50874145E-03	 1.50024334E-03
 1.00000000E+00	 3.76902646E+00	 1.35997413E-07	 7.67703182E-08	 2.16352415E-13	 2.15942864E-07	 1.21436089E-07	 0.00000000E+00	 6.16466967E-03	 1.19494522E-03
 1.05000000E+00	 3.76902646E+00	 7.57530364E-08	 4.28115596E-08	 2.31837978E-13	 2.82393812E-07	 1.58949682E-07	 0.00000000E+00	 4.53914852E-03	 8.43711313E-04
 1.10000000E+00	 3.76902646E+00	 3.00363234E-08	 1.70134589E-08	 2.41198750E-13	 3.33287025E-07	 1.87750310E-07	 0.00000000E+00	 2.71008370E-03	 4.63328866E-04
 1.15000000E+00	 3.76902646E+00	 6.07176381E-09	 3.46141748E-09	 2.45830419E-13	 3.60493329E-07	 2.03237450E-07	 0.00000000E+00	 1.29523547E-03	 2.22566669E-04
 1.20000000E+00	 3.76902646E+00	 7.69197090E-09	 4.33327719E-09	 2.48292206E-13	 3.59604254E-07	 2.02899054E-07	 0.00000000E+00	 1.34902770E-03	 3.42054701E-04
 1.25000000E+00	 3.76902646E+00	 3.47220630E-08	 1.95483365E-08	 2.51688516E-13	 3.30644879E-07	 1.86718931E-07	 0.00000000E+00	 3.19862678E-03	 7.24336961E-04
 1.30000000E+00	 3.76902646E+00	 8.29921633E-08	 4.67705322E-08	 2.59044022E-13	 2.78094314E-07	 1.57194442E-07	 0.00000000E+00	 5.00892936E-03	 1.08177734E-03
 1.35000000E+00	 3.76902646E+00	 1.44973680E-07	 8.17640641E-08	 2.72883368E-13	 2.10205709E-07	 1.18958938E-07	 0.00000000E+00	 6.59091526E-03	 1.40275514E-03
 1.40000000E+00	 3.76902646E+00	 2.10938384E-07	 1.19044787E-07	 2.95019235E-13	 1.37725180E-07	 7.80640929E-08	 0.00000000E+00	 7.87295858E-03	 1.67370035E-03
 1.45000000E+00	 3.76902646E+00	 2.70466654E-07	 1.52729450E-07	 3.26401241E-13	 7.22018628E-08	 4.10296677E-08	 0.00000000E+00	 8.81304123E-03	 1.88377582E-03
 1.50000000E+00	 3.76902646E+00	 3.14083319E-07	 1.77458188E-07	 3.66901243E-13	 2.41476759E-08	 1.38057833E-08	 0.00000000E+00	 9.39018382E-03	 2.02393230E-03
 1.55000000E+00	 3.76902646E+00	 3.34774555E-07	 1.89252056E-07	 4.15062212E-13	 1.33518557E-09	 8.09705079E-10	 0.00000000E+00	 9.60430941E-03	 2.08759635E-03
 1.60000000E+00	 3.76902646E+00	 3.29148847E-07	 1.86172080E-07	 4.67982866E-13	 7.50694186E-09	 4.19154383E-09	 0.00000000E+00	 9.46892877E-03	 2.07139937E-03
 1.65000000E+00	 3.76902646E+00	 2.98042773E-07	 1.68667037E-07	 5.21545985E-13	 4.17158809E-08	 2.34537567E-08	 0.00000000E+00	 8.99991499E-03	 1.97576623E-03
 1.70000000E+00	 3.76902646E+00	 2.46436701E-07	 1.39532817E-07	 5.71098025E-13	 9.84350017E-08	 5.55038074E-08	 0.00000000E+00	 8.21971874E-03	 1.80484167E-03
 1.75000000E+00	 3.76902646E+00	 1.82647806E-07	 1.03463346E-07	 6.12481249E-13	 1.68460299E-07	 9.51555116E-08	 0.00000000E+00	 7.15228404E-03	 1.56615886E-03
 1.80000000E+00	 3.76902646E+00	 1.16916330E-07	 6.62554449E-08	 6.43109939E-13	 2.40472163E-07	 1.36006128E-07	 0.00000000E+00	 5.82017551E-03	 1.26988982E-03
 1.85000000E+00	 3.76902646E+00	 5.96702462E-08	 3.38255470E-08	 6.62688286E-13	 3.02948715E-07	 1.71519348E-07	 0.00000000E+00	 4.25224092E-03	 9.28753442E-04
 1.90000000E+00	 3.76902646E+00	 1.98434945E-08	 1.12507473E-08	 6.73298992E-13	 3.46035578E-07	 1.96090239E-07	 0.00000000E+00	 2.48231568E-03	 5.57718326E-04
 1.95000000E+00	 3.76902646E+00	 3.54487310E-09	 2.00817089E-09	 6.78881641E-13	 3.63045936E-07	 2.05902188E-07	 0.00000000E+00	 9.67663370E-04	 2.32945079E-04
