Time	K_par_r	K_par_t	K_par_p	K_perp_r	K_perp_t	K_perp_p	R	V	P	E_cons	dt	Flow_CFL	Wave_CFL
 0.00000000E+00	 6.50077678E-16	 1.18416290E-22	 6.38870682E-23	 6.50077678E-16	 3.85603075E-09	 2.16680479E-09	 1.98396742E-35	 0.00000000E+00	 0.00000000E+00	 3.76902699E+00	 5.00000000E-02	 7.17577168E-04	 1.79588659E+01
 5.00000000E-02	 8.78511618E-16	 1.54098791E-22	 8.22888774E-23	 2.39151332E-15	 1.48848051E-08	 8.35940222E-09	 1.89784308E-35	 0.00000000E+00	 0.00000000E+00	 3.76902699E+00	 5.00000000E-02	 2.08994253E-03	 1.79588658E+01
 1.00000000E-01	 1.48360887E-15	 2.12049816E-22	 1.07298409E-22	 8.01284291E-15	 5.66620393E-08	 3.18139904E-08	 1.66651405E-35	 0.00000000E+00	 0.00000000E+00	 3.76902699E+00	 5.00000000E-02	 3.37434155E-03	 1.79588656E+01
 1.50000000E-01	 2.02529019E-15	 2.13024776E-22	 1.00005730E-22	 1.35042318E-14	 1.18501427E-07	 6.65350530E-08	 1.32864741E-35	 0.00000000E+00	 0.00000000E+00	 3.76902700E+00	 5.00000000E-02	 4.51676296E-03	 1.79588654E+01
 2.00000000E-01	 2.67804388E-15	 1.79723491E-22	 7.81100816E-23	 1.56802750E-14	 1.90409653E-07	 1.06920172E-07	 9.40509456E-36	 0.00000000E+00	 0.00000000E+00	 3.76902700E+00	 5.00000000E-02	 5.46864013E-03	 1.79588651E+01
 2.50000000E-01	 4.36530512E-15	 1.48724592E-22	 6.38985633E-23	 1.33661457E-14	 2.60893726E-07	 1.46523591E-07	 5.63127684E-36	 0.00000000E+00	 0.00000000E+00	 3.76902701E+00	 5.00000000E-02	 6.18883844E-03	 1.79588649E+01
 3.00000000E-01	 8.58606003E-15	 1.12963626E-22	 5.17169107E-23	 7.99103255E-15	 3.18774402E-07	 1.79071480E-07	 2.55544434E-36	 0.00000000E+00	 0.00000000E+00	 3.76902702E+00	 5.00000000E-02	 6.64546985E-03	 1.79588646E+01
 3.50000000E-01	 1.68717586E-14	 4.90297116E-23	 2.39753523E-23	 2.73241892E-15	 3.54932936E-07	 1.99440632E-07	 6.64066588E-37	 0.00000000E+00	 0.00000000E+00	 3.76902703E+00	 5.00000000E-02	 6.81751100E-03	 1.79588645E+01
 4.00000000E-01	 3.00324871E-14	 3.61961159E-23	 1.85479824E-23	 6.79996791E-16	 3.63744351E-07	 2.04462966E-07	 2.49842691E-37	 0.00000000E+00	 0.00000000E+00	 3.76902703E+00	 5.00000000E-02	 6.71672133E-03	 1.79588645E+01
 4.50000000E-01	 4.75163800E-14	 4.09348434E-22	 2.14087148E-22	 3.01995709E-15	 3.43944745E-07	 1.93414540E-07	 1.36442364E-36	 0.00000000E+00	 0.00000000E+00	 3.76902703E+00	 5.00000000E-02	 6.50881230E-03	 1.79588646E+01
 5.00000000E-01	 6.72674779E-14	 1.73957563E-21	 9.20722859E-22	 8.32688257E-15	 2.98792268E-07	 1.68109473E-07	 3.82193461E-36	 0.00000000E+00	 0.00000000E+00	 3.76902703E+00	 5.00000000E-02	 6.08944093E-03	 1.79588648E+01
 5.50000000E-01	 8.62292725E-14	 4.47315479E-21	 2.38449229E-21	 1.34193889E-14	 2.35524722E-07	 1.32599230E-07	 7.23166367E-36	 0.00000000E+00	 0.00000000E+00	 3.76902702E+00	 5.00000000E-02	 5.46799142E-03	 1.79588651E+01
