Time	Wr	Wt	Wp	Kr	Kt	Kp	E	|JxB|	|J.B|
 0.00000000E+00	 5.63338036E+00	 1.32375930E-02	 1.24274930E-02	 0.00000000E+00	 0.00000000E+00	 0.00000000E+00	 0.00000000E+00	 9.72532115E-01	 3.08540765E+00
 2.00000000E-04	 5.63338036E+00	 1.32375930E-02	 1.24274930E-02	 2.28061762E-06	 7.65320970E-07	 1.89709145E-06	 0.00000000E+00	 9.72532115E-01	 3.08540765E+00
 4.10000000E-04	 5.63337119E+00	 1.32089433E-02	 1.24143076E-02	 2.02371316E-05	 6.88406378E-06	 1.69049839E-05	 0.00000000E+00	 9.51064051E-01	 3.07802447E+00
 6.30500000E-04	 5.63335225E+00	 1.31525636E-02	 1.23870859E-02	 5.43772612E-05	 1.88074613E-05	 4.60085991E-05	 0.00000000E+00	 9.15216454E-01	 3.06496049E+00
 8.62025000E-04	 5.63332331E+00	 1.30725595E-02	 1.23457759E-02	 1.00962877E-04	 3.54881293E-05	 8.73998786E-05	 0.00000000E+00	 8.76163643E-01	 3.04757839E+00
 1.10512625E-03	 5.63328453E+00	 1.29745878E-02	 1.22908874E-02	 1.55227724E-04	 5.56314362E-05	 1.38699025E-04	 0.00000000E+00	 8.43668541E-01	 3.02728620E+00
 1.36038256E-03	 5.63323631E+00	 1.28641916E-02	 1.22232911E-02	 2.12428084E-04	 7.79559507E-05	 1.97291650E-04	 0.00000000E+00	 8.19238542E-01	 3.00614048E+00
 1.62840169E-03	 5.63317920E+00	 1.27457885E-02	 1.21441304E-02	 2.68476430E-04	 1.01173708E-04	 2.60506959E-04	 0.00000000E+00	 8.00899032E-01	 2.98492223E+00
 1.90982178E-03	 5.63311391E+00	 1.26222566E-02	 1.20547503E-02	 3.20212261E-04	 1.24041117E-04	 3.25780377E-04	 0.00000000E+00	 7.89145669E-01	 2.96347692E+00
 2.20531286E-03	 5.63304126E+00	 1.24947750E-02	 1.19565982E-02	 3.65463053E-04	 1.45633359E-04	 3.90877245E-04	 0.00000000E+00	 7.84990273E-01	 2.94124211E+00
 2.51557851E-03	 5.63296208E+00	 1.23635753E-02	 1.18512663E-02	 4.02973031E-04	 1.65437827E-04	 4.54049059E-04	 0.00000000E+00	 7.90098865E-01	 2.91805658E+00
