Time	K_par_r	K_par_t	K_par_p	K_perp_r	K_perp_t	K_perp_p	R	V	P	E_cons	dt	Flow_CFL	Wave_CFL
 0.00000000E+00	 0.00000000E+00	 0.00000000E+00	 0.00000000E+00	 0.00000000E+00	 0.00000000E+00	 0.00000000E+00	 3.15056210E-10	 0.00000000E+00	 0.00000000E+00	 5.65904544E+00	 2.00000000E-04	 0.00000000E+00	 9.41526293E-01
 2.00000000E-04	 6.98482200E-09	 2.79792084E-08	 6.17071394E-09	 2.20965226E-06	 8.47455942E-07	 1.84478709E-06	 3.15056210E-10	 0.00000000E+00	 0.00000000E+00	 5.65905039E+00	 2.10000000E-04	 6.96227974E-02	 9.88602608E-01
 4.10000000E-04	 4.81356831E-08	 2.04650576E-07	 4.41013444E-08	 1.96885895E-05	 7.50958420E-06	 1.65311180E-05	 3.12690400E-10	 0.00000000E+00	 0.00000000E+00	 5.65903847E+00	 2.20500000E-04	 1.41701234E-01	 1.03364432E+00
 6.30500000E-04	 9.46927262E-08	 4.31300557E-07	 8.99542523E-08	 5.31337250E-05	 2.01843502E-05	 4.52592988E-05	 3.08726390E-10	 0.00000000E+00	 0.00000000E+00	 5.65901109E+00	 2.31525000E-04	 2.12203341E-01	 1.07996511E+00
 8.62025000E-04	 1.35666990E-07	 6.49661837E-07	 1.30443786E-07	 9.89619865E-05	 3.76334754E-05	 8.63396504E-05	 3.04343898E-10	 0.00000000E+00	 0.00000000E+00	 5.65896550E+00	 2.43101250E-04	 2.80773890E-01	 1.12416714E+00
 1.10512625E-03	 1.69414692E-07	 8.40812814E-07	 1.61687213E-07	 1.52506159E-04	 5.84584242E-05	 1.37421687E-04	 3.00506472E-10	 0.00000000E+00	 0.00000000E+00	 5.65889957E+00	 2.55256313E-04	 3.45610546E-01	 1.16515160E+00
 1.36038256E-03	 1.97279978E-07	 1.00306565E-06	 1.83207118E-07	 2.09084246E-04	 8.13260535E-05	 1.95881833E-04	 2.97773470E-10	 0.00000000E+00	 0.00000000E+00	 5.65881146E+00	 2.68019128E-04	 3.97277854E-01	 1.20265259E+00
 1.62840169E-03	 2.20716660E-07	 1.13878330E-06	 1.96037123E-07	 2.64635791E-04	 1.04920954E-04	 2.59044815E-04	 2.96478448E-10	 0.00000000E+00	 0.00000000E+00	 5.65869927E+00	 2.81420085E-04	 4.44159824E-01	 1.23808440E+00
 1.90982178E-03	 2.40834173E-07	 1.24755673E-06	 2.03547438E-07	 3.16003486E-04	 1.27980079E-04	 3.24358251E-04	 2.96793149E-10	 0.00000000E+00	 0.00000000E+00	 5.65856095E+00	 2.95491089E-04	 4.82764385E-01	 1.27404261E+00
 2.20531286E-03	 2.60089983E-07	 1.33032654E-06	 2.09672688E-07	 3.61017347E-04	 1.49561427E-04	 3.89594793E-04	 2.98393891E-10	 0.00000000E+00	 0.00000000E+00	 5.65839460E+00	 3.10265643E-04	 5.14583099E-01	 1.31889809E+00
 2.51557851E-03	 2.82843470E-07	 1.38989891E-06	 2.17897151E-07	 3.98426131E-04	 1.69143020E-04	 4.53000127E-04	 3.00323751E-10	 0.00000000E+00	 0.00000000E+00	 5.65819939E+00	 3.25778925E-04	 5.37190838E-01	 1.37159266E+00
