Time	Wr	Wt	Wp	Kr	Kt	Kp	E	|JxB|	|J.B|
 0.00000000E+00	 2.11064546E+01	 9.46786025E+00	 1.05838619E+01	 0.00000000E+00	 0.00000000E+00	 0.00000000E+00	 0.00000000E+00	 3.65458624E+02	 7.10328935E+02
 1.00000000E-03	 2.11062854E+01	 9.46764193E+00	 1.05837150E+01	 1.79010548E-02	 7.02529035E-03	 1.90833918E-02	 0.00000000E+00	 3.65389333E+02	 7.10230262E+02
 1.37533917E-03	 2.10381155E+01	 9.16628583E+00	 1.03572886E+01	 9.45062920E-02	 4.53486082E-02	 1.12682384E-01	 0.00000000E+00	 2.72167917E+02	 6.42667281E+02
 1.67496886E-03	 2.09533847E+01	 8.92441444E+00	 1.01848147E+01	 1.21965663E-01	 7.70614762E-02	 1.70971468E-01	 0.00000000E+00	 2.28640365E+02	 5.94001346E+02
 1.98722773E-03	 2.08546642E+01	 8.72884543E+00	 1.00564356E+01	 1.10850499E-01	 8.93169867E-02	 1.83664126E-01	 0.00000000E+00	 2.27093804E+02	 5.56642816E+02
 2.31509954E-03	 2.07475177E+01	 8.57838672E+00	 9.96497321E+00	 8.80663876E-02	 8.76215960E-02	 1.75812787E-01	 0.00000000E+00	 2.29262909E+02	 5.24440410E+02
 2.65936494E-03	 2.06370854E+01	 8.46226762E+00	 9.89535807E+00	 7.08534815E-02	 7.94712187E-02	 1.64880703E-01	 0.00000000E+00	 2.20404089E+02	 4.97656394E+02
 3.02084361E-03	 2.05290055E+01	 8.36956675E+00	 9.84073366E+00	 6.43338179E-02	 7.09754447E-02	 1.54935382E-01	 0.00000000E+00	 2.10979564E+02	 4.73523363E+02
 3.40039622E-03	 2.04249546E+01	 8.28969408E+00	 9.79792987E+00	 6.73306770E-02	 6.61087206E-02	 1.44993619E-01	 0.00000000E+00	 2.06625392E+02	 4.52313683E+02
 3.79892645E-03	 2.03302938E+01	 8.21874590E+00	 9.76045646E+00	 7.66727254E-02	 6.59970349E-02	 1.36336330E-01	 0.00000000E+00	 2.05567090E+02	 4.30675630E+02
 4.21738320E-03	 2.02459194E+01	 8.15766329E+00	 9.72458002E+00	 8.89491697E-02	 6.85621631E-02	 1.30122400E-01	 0.00000000E+00	 2.08479712E+02	 4.10540941E+02
 4.65676279E-03	 2.01657744E+01	 8.10984090E+00	 9.69021401E+00	 1.01067278E-01	 7.01257685E-02	 1.25634462E-01	 0.00000000E+00	 2.12800751E+02	 3.93870322E+02
 5.11811135E-03	 2.00837990E+01	 8.07281452E+00	 9.66022660E+00	 1.09782570E-01	 6.79911337E-02	 1.22227241E-01	 0.00000000E+00	 2.18690201E+02	 3.81460264E+02
 5.60252734E-03	 1.99973812E+01	 8.03878096E+00	 9.63730268E+00	 1.12385865E-01	 6.39784311E-02	 1.19729862E-01	 0.00000000E+00	 2.20133261E+02	 3.73895785E+02
 6.11116413E-03	 1.99050233E+01	 8.00085626E+00	 9.62268833E+00	 1.08849793E-01	 6.19951275E-02	 1.16955896E-01	 0.00000000E+00	 2.16777849E+02	 3.69565763E+02
 6.64523277E-03	 1.98053297E+01	 7.95771118E+00	 9.61490236E+00	 1.01474513E-01	 6.30673146E-02	 1.12907503E-01	 0.00000000E+00	 2.10402867E+02	 3.64473561E+02
 7.20600483E-03	 1.97019633E+01	 7.91369558E+00	 9.60877652E+00	 9.25516176E-02	 6.49147745E-02	 1.07939781E-01	 0.00000000E+00	 2.01158922E+02	 3.56981204E+02
 7.79481549E-03	 1.96012145E+01	 7.87505014E+00	 9.60053584E+00	 8.31309320E-02	 6.48059318E-02	 1.02449887E-01	 0.00000000E+00	 1.92133494E+02	 3.49200460E+02
 8.41306669E-03	 1.95094956E+01	 7.84351205E+00	 9.58889211E+00	 7.41820962E-02	 6.22935451E-02	 9.65782374E-02	 0.00000000E+00	 1.83012547E+02	 3.41419482E+02
 9.06223045E-03	 1.94301815E+01	 7.81738929E+00	 9.57359093E+00	 6.60928698E-02	 5.85094600E-02	 9.10774676E-02	 0.00000000E+00	 1.73939326E+02	 3.36113492E+02
 9.74385240E-03	 1.93645342E+01	 7.79399987E+00	 9.55405863E+00	 5.89120919E-02	 5.43034225E-02	 8.68063718E-02	 0.00000000E+00	 1.66691718E+02	 3.30708313E+02
