Time	K_par_r	K_par_t	K_par_p	K_perp_r	K_perp_t	K_perp_p	R	V	P	E_cons	dt	Flow_CFL	Wave_CFL
 0.00000000E+00	 0.00000000E+00	 0.00000000E+00	 0.00000000E+00	 0.00000000E+00	 0.00000000E+00	 0.00000000E+00	 7.84327902E-01	 0.00000000E+00	 0.00000000E+00	 4.11581767E+01	 1.00000000E-03	 0.00000000E+00	 8.60445185E+00
 1.00000000E-03	 8.17348246E-05	 1.21787816E-04	 8.21845793E-05	 1.75978280E-02	 7.05740278E-03	 1.90687990E-02	 7.84122580E-01	 0.00000000E+00	 0.00000000E+00	 4.12024363E+01	 3.75339168E-04	 6.00000000E-01	 3.22958512E+00
 1.37533917E-03	 4.32001091E-04	 5.77627034E-04	 3.77078370E-04	 9.30341361E-02	 4.59453189E-02	 1.12171122E-01	 6.16585153E-01	 0.00000000E+00	 0.00000000E+00	 4.08152744E+01	 2.99629695E-04	 6.00000000E-01	 2.57555429E+00
 1.67496886E-03	 9.03773465E-04	 8.27568985E-04	 6.52572036E-04	 1.21009832E-01	 7.75764602E-02	 1.69028400E-01	 5.13681802E-01	 0.00000000E+00	 0.00000000E+00	 4.04338290E+01	 3.12258868E-04	 6.00000000E-01	 2.68048287E+00
 1.98722773E-03	 1.20366293E-03	 9.47895181E-04	 8.57187441E-04	 1.10731151E-01	 8.90914989E-02	 1.81000216E-01	 4.55393839E-01	 0.00000000E+00	 0.00000000E+00	 4.00251446E+01	 3.27871811E-04	 5.06357870E-01	 2.81215735E+00
 2.31509954E-03	 1.21655777E-03	 8.88817881E-04	 8.71225581E-04	 8.87828383E-02	 8.62045445E-02	 1.73536787E-01	 4.17257739E-01	 0.00000000E+00	 0.00000000E+00	 3.96438892E+01	 3.44265401E-04	 4.83018240E-01	 2.95274258E+00
 2.65936494E-03	 1.09405027E-03	 8.73776279E-04	 7.40977827E-04	 7.19034483E-02	 7.71213943E-02	 1.63471756E-01	 3.83982979E-01	 0.00000000E+00	 0.00000000E+00	 3.93115652E+01	 3.61478672E-04	 4.72938979E-01	 3.10085488E+00
 3.02084361E-03	 1.03570821E-03	 9.78151474E-04	 7.31243298E-04	 6.53247837E-02	 6.81419734E-02	 1.54032785E-01	 3.55137588E-01	 0.00000000E+00	 0.00000000E+00	 3.90313329E+01	 3.79552605E-04	 5.10721734E-01	 3.25480660E+00
 3.40039622E-03	 1.07113790E-03	 1.08575680E-03	 8.39695210E-04	 6.83063214E-02	 6.30643443E-02	 1.44065761E-01	 3.30906407E-01	 0.00000000E+00	 0.00000000E+00	 3.87929240E+01	 3.98530235E-04	 5.14616874E-01	 3.41456774E+00
 3.79892645E-03	 1.13169368E-03	 1.15931314E-03	 9.69010732E-04	 7.77324970E-02	 6.29392181E-02	 1.35074358E-01	 3.10059952E-01	 0.00000000E+00	 0.00000000E+00	 3.85905424E+01	 4.18456747E-04	 4.98477129E-01	 3.58279661E+00
 4.21738320E-03	 1.20183809E-03	 1.21685667E-03	 1.04634905E-03	 9.02230460E-02	 6.56424740E-02	 1.28303169E-01	 2.93130679E-01	 0.00000000E+00	 0.00000000E+00	 3.84179629E+01	 4.39379585E-04	 4.64766177E-01	 3.76159321E+00
 4.65676279E-03	 1.28290444E-03	 1.28817137E-03	 1.09143480E-03	 1.02493731E-01	 6.73175137E-02	 1.23353753E-01	 2.81247272E-01	 0.00000000E+00	 0.00000000E+00	 3.82649494E+01	 4.61348564E-04	 4.41192644E-01	 3.94967136E+00
 5.11811135E-03	 1.35612927E-03	 1.34375583E-03	 1.17264312E-03	 1.11143366E-01	 6.51482090E-02	 1.19836842E-01	 2.72858082E-01	 0.00000000E+00	 0.00000000E+00	 3.81192615E+01	 4.84415992E-04	 4.23850781E-01	 4.14589425E+00
 5.60252734E-03	 1.39304267E-03	 1.37885696E-03	 1.31135262E-03	 1.13534139E-01	 6.10848532E-02	 1.17391914E-01	 2.64742458E-01	 0.00000000E+00	 0.00000000E+00	 3.79721096E+01	 5.08636792E-04	 4.39914943E-01	 4.34983732E+00
 6.11116413E-03	 1.42766128E-03	 1.40042336E-03	 1.45607220E-03	 1.09980581E-01	 5.92458606E-02	 1.14290218E-01	 2.53900335E-01	 0.00000000E+00	 0.00000000E+00	 3.78190512E+01	 5.34068631E-04	 4.37978531E-01	 4.56475889E+00
 6.64523277E-03	 1.49330249E-03	 1.39205089E-03	 1.57182106E-03	 1.02946596E-01	 6.06009442E-02	 1.09444616E-01	 2.40260164E-01	 0.00000000E+00	 0.00000000E+00	 3.76582071E+01	 5.60772063E-04	 4.47618280E-01	 4.79375312E+00
